# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "4" "-s" "2" "-p" "-B" "-C" "-t" "exon" "-g" "gene_name" "-a" "/scratch/evt82290/MappingOutputs/RNAseq_split/GCA_000182925.2_NC12_genomic_GFFtoGTFconversion.flipped.gtf" "-o" "/scratch/evt82290/MappingOutputs/RNAseq_split/counts/149-116_RNA_cac-1__Rep2_S140/149-116_RNA_cac-1__Rep2_S140.antisense.txt" "/scratch/evt82290/MappingOutputs/RNAseq_split/bamFiles/149-116_RNA_cac-1__Rep2_S140/149-116_RNA_cac-1__Rep2_S140_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/evt82290/MappingOutputs/RNAseq_split/bamFiles/149-116_RNA_cac-1__Rep2_S140/149-116_RNA_cac-1__Rep2_S140_Aligned.sortedByCoord.out.bam
NCU09914	CM002236.1;CM002236.1	62094;62635	62565;62950	-;-	788	8
NCU10501	CM002236.1;CM002236.1;CM002236.1	91324;91593;92461	91514;92315;92593	-;-;-	1047	0
NCU08049	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	93474;93689;95218;95218;95407;95407;95742;95742;96320;96320;97486;97486;98796	95046;95046;95266;95266;95467;95467;95997;95997;97262;97262;98605;98699;98954	+;+;+;+;+;+;+;+;+;+;+;+;+	4255	0
NCU08050	CM002236.1;CM002236.1	99983;101166	101042;102134	-;-	2029	46
NCU08051	CM002236.1	102314	105940	+	3627	10
NCU16303	CM002236.1	102849	103781	-	933	41
NCU08052	CM002236.1;CM002236.1;CM002236.1	109911;110973;111335	110908;111273;112060	-;-;-	2025	61
NCU08053	CM002236.1	112097	113288	+	1192	2
gh3-2	CM002236.1;CM002236.1	113613;114049	113942;117165	-;-	3447	0
NCU08055	CM002236.1	117750	119387	-	1638	6
NCU08056	CM002236.1;CM002236.1	122928;127928	127863;128314	-;-	5323	36
NCU08057	CM002236.1;CM002236.1	128668;129025	128949;129912	-;-	1170	25
NCU08058	CM002236.1;CM002236.1	130428;131787	131718;132364	+;+	1869	121
NCU08059	CM002236.1;CM002236.1;CM002236.1;CM002236.1	133836;134021;134222;134388	133961;134042;134290;134464	-;-;-;-	294	0
NCU08060	CM002236.1;CM002236.1;CM002236.1	134927;136577;136795	136505;136737;137208	+;+;+	2154	4
NCU08062	CM002236.1;CM002236.1	137593;138191	138135;139980	-;-	2333	2
NCU08063	CM002236.1;CM002236.1;CM002236.1;CM002236.1	139966;141471;141779;142951	141404;141714;142860;143960	+;+;+;+	3775	6
NCU08064	CM002236.1	144649	149497	+	4849	2
NCU08065	CM002236.1;CM002236.1	149511;151488	151410;152241	+;+	2654	14
NCU08066	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	152421;153532;153745;154387;154536	153481;153691;154328;154466;155040	+;+;+;+;+	2390	2
ro-10	CM002236.1;CM002236.1	155599;156082	156011;157284	-;-	1616	70
NCU08067	CM002236.1;CM002236.1;CM002236.1	158037;159507;159877	159428;159815;161116	-;-;-	2941	12
NCU08068	CM002236.1	162307	163765	-	1459	54
NCU08069	CM002236.1;CM002236.1	163963;164155	164007;166034	-;-	1925	40
NCU08070	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	169835;171442;171729;172246;172415;172560;172853	171365;171670;171825;172340;172480;172668;173197	+;+;+;+;+;+;+	2472	599
cyt-21	CM002236.1;CM002236.1;CM002236.1	173482;173775;174055	173701;173955;174938	-;-;-	1285	0
NCU15001	CM002236.1	175041	175128	+	88	0
NCU08072	CM002236.1	175275	178146	+	2872	2
NCU08073	CM002236.1	178614	180242	+	1629	24
NCU08074	CM002236.1	181223	181975	-	753	2
NCU08075	CM002236.1;CM002236.1;CM002236.1;CM002236.1	182428;184075;184564;184796	183921;184498;184735;185051	+;+;+;+	2346	12
NCU08076	CM002236.1	186040	188208	-	2169	2
NCU08077	CM002236.1	188531	189595	+	1065	8
NCU08078	CM002236.1;CM002236.1	190407;190588	190506;191138	-;-	651	4
NCU08079	CM002236.1;CM002236.1	193144;193803	193627;194064	+;+	746	0
NCU08080	CM002236.1	195021	195335	+	315	0
NCU16305	CM002236.1	195781	196290	+	510	2
NCU08081	CM002236.1	198195	198497	-	303	0
NCU08083	CM002236.1	208395	209343	+	949	0
NCU08084	CM002236.1;CM002236.1;CM002236.1;CM002236.1	210487;210925;211717;212108	210805;210945;212052;212487	-;-;-;-	1056	6
NCU08085	CM002236.1;CM002236.1;CM002236.1	214620;214824;215038	214770;214971;215734	-;-;-	996	0
NCU08086	CM002236.1	216105	216521	+	417	0
NCU08087	CM002236.1;CM002236.1	219396;220759	220697;220979	+;+	1523	0
NCU08089	CM002236.1	224662	224874	-	213	16
NCU16306	CM002236.1	226935	227879	+	945	4
NCU08090	CM002236.1	227818	228981	+	1164	0
NCU10622	CM002236.1;CM002236.1	231496;232512	232411;232838	+;+	1243	2
NCU08091	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	233028;233215;233373;233623;233623;234407	233256;233558;233558;234749;234247;234489	-;-;-;-;-;-	1658	17
NCU08092	CM002236.1;CM002236.1;CM002236.1	234736;235569;235978	235448;235880;237045	+;+;+	2093	229
NCU08093	CM002236.1;CM002236.1;CM002236.1;CM002236.1	237549;237865;238034;238147	237797;237894;238084;238578	-;-;-;-	762	5
NCU08094	CM002236.1;CM002236.1	239112;239749	239506;240765	-;-	1412	57
NCU08095	CM002236.1;CM002236.1	240744;241536	241330;241840	+;+	892	27
NCU08096	CM002236.1;CM002236.1	243324;244178	243346;246248	+;+	2094	2
NCU16307	CM002236.1;CM002236.1	246887;247422	247378;247478	+;+	549	0
NCU08097	CM002236.1;CM002236.1;CM002236.1	249097;250847;251518	250790;251445;251944	+;+;+	2720	2
NCU08098	CM002236.1	253456	254492	-	1037	14
NCU08099	CM002236.1	254975	255694	+	720	370
NCU08100	CM002236.1	256166	256694	-	529	0
NCU08101	CM002236.1	257493	259361	-	1869	0
NCU15002	CM002236.1	260802	260909	-	108	0
NCU15003	CM002236.1	261512	261618	-	107	0
NCU08102	CM002236.1	262020	263387	+	1368	0
NCU08103	CM002236.1	264036	265388	+	1353	0
NCU08105	CM002236.1;CM002236.1	291633;292700	292267;292877	-;-	813	0
NCU08106	CM002236.1	293167	294573	-	1407	0
NCU08107	CM002236.1	296499	297770	+	1272	0
NCU08109	CM002236.1	302353	303729	-	1377	0
NCU08110	CM002236.1;CM002236.1;CM002236.1	305342;306102;308323	305993;308216;308567	+;+;+	3012	0
NCU08111	CM002236.1;CM002236.1	309019;310330	310273;310364	-;-	1290	0
NCU08112	CM002236.1;CM002236.1;CM002236.1;CM002236.1	311541;312429;312557;313267	312376;312492;313126;313460	-;-;-;-	1664	0
NCU08113	CM002236.1;CM002236.1	313930;314779	314273;315269	-;-	835	0
cdt-2	CM002236.1;CM002236.1;CM002236.1;CM002236.1	318873;319505;320676;320860	319440;320606;320801;321079	+;+;+;+	2016	0
msh3	CM002236.1	325003	328569	-	3567	4
NCU08116	CM002236.1	328658	330088	+	1431	4
NCU08117	CM002236.1;CM002236.1;CM002236.1	332175;333091;334398	332937;334260;334731	+;+;+	2267	2
pex1	CM002236.1;CM002236.1	335202;339012	338935;339433	+;+	4156	12
NCU08119	CM002236.1;CM002236.1;CM002236.1	340059;340349;343004	340213;342693;343487	-;-;-	2984	0
NCU08120	CM002236.1;CM002236.1	343608;344695	344614;345535	+;+	1848	24
NCU08121	CM002236.1	345768	347031	-	1264	0
NCU10647	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	348246;348392;348392;350032;350032;350032;350863;350926;350926;352091	349972;349972;349972;350778;350778;350778;352922;352922;351635;352922	+;+;+;+;+;+;+;+;+;+	4534	0
NCU16310	CM002236.1;CM002236.1;CM002236.1;CM002236.1	351913;352153;352625;353136	352041;352244;352794;353209	-;-;-;-	465	6
NCU07509	CM002236.1;CM002236.1	356403;356923	356854;357891	-;-	1421	0
NCU07508	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	359462;359850;360492;360801;360884	359779;360419;360738;360828;361343	-;-;-;-;-	1623	4
NCU16311	CM002236.1;CM002236.1;CM002236.1;CM002236.1	363634;363870;364373;365990	363792;364299;365794;366043	+;+;+;+	2065	2
NCU07507	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	366915;366915;367224;367224;367407	367157;367157;367343;367463;367463	+;+;+;+;+	483	0
NCU07506	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	367975;368005;368254;368254;369043;369043	368043;368193;368975;368975;369298;369313	-;-;-;-;-;-	1212	8
NCU07505	CM002236.1;CM002236.1;CM002236.1;CM002236.1	377665;379166;379361;379748	379100;379296;379669;380825	+;+;+;+	2954	2
major facilitator superfamily transporter protein MFS1	CM002236.1;CM002236.1;CM002236.1	381418;383466;383544	383391;383471;384072	+;+;+	2509	0
NCU07503	CM002236.1;CM002236.1	386939;388346	387865;388761	+;+	1343	30
NCU07502	CM002236.1;CM002236.1	388864;390483	390400;392501	-;-	3556	4
NCU15004	CM002236.1	393034	393131	-	98	0
NCU07501	CM002236.1;CM002236.1;CM002236.1	393677;394185;394592	394128;394515;395053	+;+;+	1245	8
NCU07500	CM002236.1;CM002236.1;CM002236.1;CM002236.1	397225;397716;397948;398177	397644;397885;398117;398634	-;-;-;-	1218	0
NCU07499	CM002236.1;CM002236.1;CM002236.1	400255;400593;400837	400521;400765;401476	-;-;-	1080	6
mus-40	CM002236.1	402099	406298	+	4200	16
NCU07497	CM002236.1;CM002236.1	406510;407060	406950;408008	-;-	1390	0
set-7	CM002236.1;CM002236.1;CM002236.1	408524;411304;414982	410715;414216;415263	+;+;+	5387	7
NCU07495	CM002236.1;CM002236.1;CM002236.1	417352;417936;418329	417860;418262;419464	-;-;-	1972	6
NCU15005	CM002236.1	420030	420109	+	80	0
NCU07494	CM002236.1;CM002236.1	420177;420505	420425;421612	-;-	1357	6
NCU07493	CM002236.1	421557	423435	+	1879	35
NCU07492	CM002236.1;CM002236.1	423885;427786	427659;427947	+;+	3937	0
NCU07491	CM002236.1	429105	431229	+	2125	7
pzl-1	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	437279;438225;438483;438483;440381;440381;440589;440589	438196;438418;440326;440326;440533;440533;441935;441935	-;-;-;-;-;-;-;-	4456	0
NCU16314	CM002236.1	441089	441910	+	822	1407
NCU15006	CM002236.1	442100	442171	-	72	0
gh3-6	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	448859;449122;449305;449617;449895	449068;449247;449563;449836;451692	-;-;-;-;-	2613	2
NCU07486	CM002236.1	453919	454759	+	841	0
NCU07485	CM002236.1;CM002236.1	455182;455341	455214;456143	-;-	836	0
gh18-8	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	456742;456947;459042;459445;460324;460592;460792	456807;458953;459350;460200;460507;460718;461929	-;-;-;-;-;-;-	4587	2
fr	CM002236.1;CM002236.1	464411;465030	464942;467155	-;-	2658	27
NCU07482	CM002236.1;CM002236.1	467141;468451	468324;469295	+;+	2029	11
NCU07481	CM002236.1;CM002236.1;CM002236.1;CM002236.1	474069;475012;475227;478106	474850;475166;478038;478709	-;-;-;-	4353	6
NCU07480	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	479576;479882;480072;480385;481079;481363;481541;481895;482114	479712;480018;480215;480908;481163;481460;481680;481931;482143	+;+;+;+;+;+;+;+;+	1332	0
NCU07479	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	486622;486832;487178;487914;488324;489061;490295;490398	486746;486862;487792;488272;488401;490174;490336;490547	+;+;+;+;+;+;+;+	2514	0
NCU07478	CM002236.1	491366	493798	+	2433	0
NCU07477	CM002236.1;CM002236.1	494638;498435	498330;499251	+;+	4510	12
NCU07476	CM002236.1;CM002236.1	502478;504560	504494;504670	+;+	2128	68
NCU07475	CM002236.1;CM002236.1;CM002236.1	507934;508434;508744	508341;508679;509018	+;+;+	929	0
NCU07474	CM002236.1;CM002236.1	512384;512969	512895;513927	+;+	1471	69
NCU07473	CM002236.1;CM002236.1;CM002236.1	514506;516836;517925	516777;517861;519273	+;+;+	4647	10
NCU07472	CM002236.1;CM002236.1;CM002236.1	519493;520965;521485	520908;521414;521645	+;+;+	2027	84
NCU07471	CM002236.1;CM002236.1;CM002236.1	521932;522411;522996	522200;522853;523738	-;-;-	1455	12
NCU07468	CM002236.1;CM002236.1;CM002236.1	530629;531714;532131	531606;532014;533414	-;-;-	2563	4
NCU07467	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	535655;536039;536262;536338;536532;536532	535826;536167;536446;536446;538185;538185	-;-;-;-;-;-	2140	1932
NCU07466	CM002236.1;CM002236.1	537096;538471	538352;538676	+;+	1463	598
NCU07465	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	539196;539301;540012;540410;540410	539788;540343;540343;541680;541680	-;-;-;-;-	2419	8
NCU07464	CM002236.1;CM002236.1	541586;541829	541743;543147	+;+	1477	6
NCU07463	CM002236.1;CM002236.1	543682;543942	543860;546443	-;-	2681	0
NCU07462	CM002236.1;CM002236.1;CM002236.1	547790;548319;548706	547990;548636;548753	+;+;+	567	2
NCU07461	CM002236.1	549633	552479	+	2847	0
mob-2b	CM002236.1;CM002236.1;CM002236.1;CM002236.1	552868;553831;554251;554433	553416;554187;554362;555385	-;-;-;-	1971	4
prm-1	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	555964;556399;556526;556772;557175	556313;556412;556655;557103;558250	-;-;-;-;-	1902	0
NCU16316	CM002236.1;CM002236.1	559256;560330	560218;560671	+;+	1305	8
NCU07458	CM002236.1;CM002236.1	560708;561916	561847;562798	+;+	2023	6
NCU07457	CM002236.1	563726	566109	-	2384	74
rib-5	CM002236.1;CM002236.1	565191;567043	566899;567401	+;+	2068	690
NCU07455	CM002236.1	568088	569942	-	1855	0
NCU07454	CM002236.1;CM002236.1;CM002236.1	570732;571641;572868	571565;572791;573135	+;+;+	2253	0
NCU07453	CM002236.1;CM002236.1;CM002236.1	574311;574801;576267	574716;575996;576289	-;-;-	1625	85
mig-2	CM002236.1	576062	577864	+	1803	12
NCU07451	CM002236.1;CM002236.1;CM002236.1;CM002236.1	578783;580025;580294;581204	579960;580226;580987;581444	+;+;+;+	2315	8
NCU07450	CM002236.1;CM002236.1	582488;582578	582513;583595	-;-	1044	0
NCU07449	CM002236.1;CM002236.1;CM002236.1	584437;584895;585193	584611;585057;585580	-;-;-	726	0
NCU07448	CM002236.1;CM002236.1	587090;588511	588366;588592	-;-	1359	0
DUF803 domain-containing protein	CM002236.1;CM002236.1	593883;596107	596037;596976	+;+	3025	2
vma-4	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	597623;597822;598264;598264;598860	598183;598183;598772;599464;600826	-;-;-;-;-	3124	199
NCU07445	CM002236.1;CM002236.1	599620;602009	601956;602122	+;+	2451	6
NCU07443	CM002236.1;CM002236.1;CM002236.1	608824;610182;613417	610016;613357;615081	-;-;-	6034	14
NCU07442	CM002236.1;CM002236.1;CM002236.1	615714;616029;616846	615945;616777;618210	-;-;-	2346	34
NCU07441	CM002236.1;CM002236.1	620563;621028	620918;621595	-;-	924	4
mus-38	CM002236.1;CM002236.1	621601;624762	624688;624990	+;+	3317	0
NCU07439	CM002236.1;CM002236.1	625039;625526	625443;625986	-;-	866	30
NCU07438	CM002236.1;CM002236.1;CM002236.1;CM002236.1	626352;626753;627419;629165	626573;627362;629087;629587	-;-;-;-	2924	10
NCU07437	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	630033;631343;631577;631764;632008	631260;631500;631626;631804;632301	+;+;+;+;+	1771	30
NCU07436	CM002236.1	632558	634077	-	1520	0
NCU07435	CM002236.1;CM002236.1	634194;634718	634646;636325	-;-	2061	0
NCU07434	CM002236.1	636650	638312	-	1663	156
NCU07433	CM002236.1;CM002236.1	638340;639522	639410;642524	+;+	4074	62
NCU15601	CM002236.1	643277	643375	-	99	0
pls-1	CM002236.1;CM002236.1;CM002236.1	644063;645084;645388	645023;645316;646234	+;+;+	2041	2
NCU07430	CM002236.1;CM002236.1;CM002236.1;CM002236.1	652513;653134;653932;654124	652711;653794;654066;655451	-;-;-;-	2323	2
NCU07429	CM002236.1;CM002236.1;CM002236.1;CM002236.1	658020;658446;658690;658770	658364;658618;658712;658981	+;+;+;+	753	0
tcu-3	CM002236.1;CM002236.1;CM002236.1	661989;662389;662903	662328;662846;663664	+;+;+	1560	108
NCU07427	CM002236.1;CM002236.1	666139;666465	666360;666602	-;-	360	0
NCU10006	CM002236.1;CM002236.1	698409;699010	698940;700075	+;+	1598	0
acu-9	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	710761;710761;711562;711562;713029;713294	711493;711493;712939;712958;713532;713665	+;+;+;+;+;+	2767	6
tca-14	CM002236.1;CM002236.1;CM002236.1	716981;718399;719146	718324;718799;719354	+;+;+	1954	14
stk-53	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	720670;720981;721366;723181;723964	720899;721310;723119;723903;724628	+;+;+;+;+	3702	6
NCU09065	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	726288;727978;728924;729050;729850	727917;728868;728996;729785;730970	-;-;-;-;-	4451	168
NCU09066	CM002236.1;CM002236.1	739987;740691	740629;740998	+;+	951	54
nit-2	CM002236.1;CM002236.1;CM002236.1	741884;743370;743827	743270;743748;746951	-;-;-	4891	2
NCU09069	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	747758;747758;749170;749170;750053	748971;748971;749809;750052;750244	+;+;+;+;+	2289	10
NCU09070	CM002236.1;CM002236.1	750264;752368	752283;752527	+;+	2180	0
dbf2	CM002236.1;CM002236.1;CM002236.1	753028;754592;755689	754541;755630;756753	-;-;-	3618	10
NCU09072	CM002236.1;CM002236.1	758474;758796	758711;759986	-;-	1429	38
NCU10839	CM002236.1;CM002236.1;CM002236.1	761516;761823;762225	761695;761935;762264	+;+;+	333	0
NCU09073	CM002236.1	763687	765163	-	1477	85
NCU09074	CM002236.1	764870	766051	+	1182	80
NCU09075	CM002236.1	766238	767152	+	915	2
NCU09076	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	767193;767874;768187;768601;769755	767820;768131;768547;769011;770372	+;+;+;+;+	2276	6
NCU09077	CM002236.1;CM002236.1	770678;771502	771409;772001	-;-	1232	2
NCU09078	CM002236.1;CM002236.1;CM002236.1	771965;772478;772929	772309;772599;773374	+;+;+	913	6
NCU09079	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	774193;774193;774193;775449;776990;776990;776990;777528;777528;777528;777682;777682;777682;778355	775374;776931;776931;776931;777425;777425;777425;777568;777568;777568;780044;780044;777802;780044	+;+;+;+;+;+;+;+;+;+;+;+;+;+	5579	150
NCU09080	CM002236.1	791939	792235	+	297	2
NCU09081	CM002236.1	793682	794386	-	705	0
NCU09082	CM002236.1;CM002236.1;CM002236.1	798219;798488;798760	798331;798588;798824	+;+;+	279	0
NCU09084	CM002236.1;CM002236.1	804397;805080	804676;805159	-;-	360	4
NCU14002	CM002236.1;CM002236.1;CM002236.1	805926;806281;806544	806219;806460;806591	+;+;+	522	318
NCU09085	CM002236.1;CM002236.1	808582;809552	809493;811110	-;-	2471	0
NCU16318	CM002236.1	810666	812203	-	1538	2
NCU09087	CM002236.1;CM002236.1	815349;818044	817974;818956	+;+	3539	2
NCU09088	CM002236.1	819221	821372	+	2152	4
NCU09089	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	821652;821655;821749;821897;821897;822129;822129;822377;822377	821800;821674;821800;821910;821910;822259;822259;823144;823194	-;-;-;-;-;-;-;-;-	1112	30
NCU09090	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	823210;823210;823939;823939;824800;824800;825055;825055;825931;825931	823751;823751;824699;824699;824852;824852;825434;825431;826355;826355	+;+;+;+;+;+;+;+;+;+	2161	26
NCU09091	CM002236.1;CM002236.1;CM002236.1	826647;827522;828216	827458;828150;829000	+;+;+	2226	8
NCU09092	CM002236.1;CM002236.1;CM002236.1	829269;830208;831019	830054;830762;831784	-;-;-	2107	0
NCU09093	CM002236.1;CM002236.1;CM002236.1	831803;833039;833538	832959;833479;834075	+;+;+	2136	4
NCU09094	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	836279;836281;837431;837431;837639;837639;837771	837362;837362;837503;837503;837711;837740;837803	+;+;+;+;+;+;+	1292	0
NCU09095	CM002236.1;CM002236.1;CM002236.1	837953;838217;838957	838158;838735;839866	-;-;-	1635	6
NCU09096	CM002236.1;CM002236.1	841866;843002	842600;843028	-;-	762	11
NCU09097	CM002236.1;CM002236.1;CM002236.1	843475;845653;846202	845598;846147;847155	-;-;-	3573	8
NCU15007	CM002236.1	847426	847497	-	72	0
NCU09098	CM002236.1;CM002236.1;CM002236.1	847805;849199;849486	849131;849410;849962	+;+;+	2016	6
NCU09099	CM002236.1	851718	853021	-	1304	2
NCU09100	CM002236.1	853664	855156	+	1493	14
NCU09101	CM002236.1;CM002236.1;CM002236.1	855455;855834;857748	855639;857685;858451	-;-;-	2741	0
NCU09102	CM002236.1	858636	860920	-	2285	4
NCU09103	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	861000;861913;862328;862437;862763	861813;862253;862369;862643;863156	+;+;+;+;+	1798	6
NCU09104	CM002236.1;CM002236.1;CM002236.1	863464;869993;871528	869930;871303;872329	+;+;+	8580	4
NCU16320	CM002236.1;CM002236.1;CM002236.1	926376;926630;926855	926485;926750;927148	+;+;+	525	74
NCU02187	CM002236.1	928570	930752	+	2183	14
NCU14003	CM002236.1	937130	938177	-	1048	0
chit-1	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	937786;937786;938707;939240;939240	939170;938478;939170;943577;943577	-;-;-;-;-	5723	0
NCU02183	CM002236.1;CM002236.1;CM002236.1	951198;951382;951550	951287;951457;951623	+;+;+	240	0
NCU02182	CM002236.1	952310	955257	-	2948	64
NCU02181	CM002236.1;CM002236.1;CM002236.1	955540;955895;956548	955681;956317;957970	-;-;-	1988	10
NCU14004	CM002236.1	960340	961628	-	1289	170
NCU02179	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	965259;965462;965764;966418;966886;967629;967998	965400;965682;966300;966817;967503;967933;968393	-;-;-;-;-;-;-	2619	0
sad-1	CM002236.1;CM002236.1	969499;972699	972640;974473	-;-	4917	2
NCU16321	CM002236.1;CM002236.1	974675;975576	975458;976129	+;+	1338	0
NCU02177	CM002236.1	977122	978622	+	1501	4
NCU02176	CM002236.1;CM002236.1;CM002236.1	978695;979678;979863	979604;979754;980576	-;-;-	1701	22
NCU15008	CM002236.1	980460	980551	+	92	2
NCU16323	CM002236.1;CM002236.1	980957;981296	981068;982105	+;+	922	2
NCU02175	CM002236.1;CM002236.1;CM002236.1;CM002236.1	983862;984740;985285;987163	984684;985231;986555;987884	-;-;-;-	3308	0
NCU15009	CM002236.1	988181	988251	-	71	0
NCU16325	CM002236.1	988544	989478	-	935	167
NCU02174	CM002236.1;CM002236.1	991777;993255	993085;993756	-;-	1811	4
NCU02173	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	996277;996898;998128;998320;998507	996798;998068;998262;998459;1000626	-;-;-;-;-	4088	12
NCU15010	CM002236.1	1002284	1002378	+	95	0
NCU02172	CM002236.1;CM002236.1	1002515;1006130	1006071;1006983	+;+	4411	0
NCU02171	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	1008855;1009248;1009490;1009608;1010096	1009007;1009340;1009547;1009652;1010430	-;-;-;-;-	684	8
NCU02170	CM002236.1;CM002236.1	1014237;1016593	1016526;1016969	+;+	2667	0
NCU02169	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	1016977;1017648;1017818;1017936;1018215	1017571;1017753;1017863;1018113;1018546	+;+;+;+;+	1257	22
NCU02168	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	1019425;1019974;1020097;1020403;1020570	1019791;1020005;1020315;1020493;1021505	-;-;-;-;-	1645	0
krev-1	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	1022195;1022533;1022867;1022976;1023068;1023263;1023462;1023672	1022472;1022790;1022895;1022998;1023147;1023289;1023493;1024977	+;+;+;+;+;+;+;+	2033	16
NCU16327	CM002236.1;CM002236.1	1031190;1031296	1031256;1031840	-;-	612	4
NCU02165	CM002236.1;CM002236.1	1033949;1035555	1035486;1037601	-;-	3585	5
NCU02164	CM002236.1;CM002236.1	1038405;1040248	1040183;1040827	-;-	2359	18
NCU02163	CM002236.1;CM002236.1	1040528;1042039	1041979;1042071	+;+	1485	1690
