# Program:featureCounts v2.0.0; Command:"featureCounts" "-T" "6" "-a" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/NC12_annotation.gtf" "-o" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/readcounts_3.txt" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8444037.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8444038.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8444043.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970629.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970630.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970631.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970598.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970599.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970600.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269830.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269647.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269650.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916318.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916319.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916320.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970603.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970606.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970610.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR9027727.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR9027728.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR9027730.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269825.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269775.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269782.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269810.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916163.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916164.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916165.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8444037.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8444038.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8444043.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970629.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970630.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970631.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970598.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970599.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970600.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269830.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269647.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269650.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916318.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916319.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916320.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970603.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970606.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970610.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR9027727.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR9027728.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR9027730.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269825.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269775.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269782.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269810.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916163.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916164.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916165.sorted.bam
NCU08053	CM002236.1	112097	113288	-	1192	3945	3317	3566	3843	3463	3373	3265	3856	4106	1135	1538	2171	1646	1810	1206	3883	3796	2928	1878	2498	2039	7313	9770	9503	7050	1290	1403	1978
NCU08054	CM002236.1;CM002236.1	113613;114049	113942;117165	+;+	3447	4354	2847	3709	3741	3306	3417	3470	4040	3797	2798	2641	3342	1451	830	765	6137	6770	4382	2722	3089	2198	9449	11542	11412	9236	1214	1227	1737
NCU08055	CM002236.1	117750	119387	+	1638	21710	12937	22929	15860	14188	14185	9847	11393	12265	13104	14769	20618	16790	6861	5398	35082	45044	25839	15088	17520	10686	103872	125166	125023	103603	7242	9489	15191
NCU08056	CM002236.1;CM002236.1	122928;127928	127863;128314	+;+	5323	916	895	770	1432	1111	1070	856	1264	953	312	344	369	332	147	116	1200	1462	896	432	428	361	1175	1390	1309	1134	323	267	416
NCU08057	CM002236.1;CM002236.1	128668;129025	128949;129912	+;+	1170	1184	585	958	1952	1645	1407	4635	5171	5394	567	496	642	371	95	124	2762	2971	1979	2771	2982	1822	4179	4943	4821	4028	419	326	456
NCU08058	CM002236.1;CM002236.1	130428;131787	131718;132364	-;-	1869	141	240	147	241	200	182	101	170	118	87	88	84	58	62	33	94	90	70	79	69	64	112	119	120	94	66	40	80
NCU08059	CM002236.1;CM002236.1;CM002236.1;CM002236.1	133836;134021;134222;134388	133961;134042;134290;134464	+;+;+;+	294	0	2	0	0	1	1	0	0	0	0	2	1	0	0	0	3	0	1	0	0	0	1	2	4	3	0	0	0
NCU08060	CM002236.1;CM002236.1;CM002236.1	134927;136577;136795	136505;136737;137208	-;-;-	2154	301	283	289	218	213	193	128	156	119	44	58	52	116	53	47	269	290	217	130	139	129	425	592	496	417	118	152	141
NCU08062	CM002236.1;CM002236.1	137593;138191	138135;139980	+;+	2333	297	276	272	219	163	181	136	207	145	73	68	67	147	81	83	281	338	163	104	96	78	461	571	547	504	142	124	165
NCU08063	CM002236.1;CM002236.1;CM002236.1;CM002236.1	139966;141471;141779;142951	141404;141714;142860;143960	-;-;-;-	3775	2207	1727	2180	1984	1602	1888	1585	2183	1736	1350	1416	1899	830	509	440	2238	2357	1503	866	936	896	4575	5279	5211	4245	537	491	685
NCU08064	CM002236.1	144649	149497	-	4849	4485	2526	4084	3785	3223	3616	4314	5230	5125	3177	3059	3771	1035	452	605	6066	6526	4441	3151	2889	2457	7642	10772	10811	7853	730	756	821
NCU08065	CM002236.1;CM002236.1	149511;151488	151410;152241	-;-	2654	947	868	861	830	845	744	815	982	905	411	382	446	260	219	222	875	1001	722	485	626	493	1283	1556	1337	1204	227	234	277
NCU08066	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	152421;153532;153745;154387;154536	153481;153691;154328;154466;155040	-;-;-;-;-	2390	8389	7187	6953	7441	7057	6358	6444	8013	7878	3088	3198	3921	3132	2756	2101	7353	6783	5414	3414	4292	3594	9907	11282	11341	9622	3148	2558	2956
NCU10696	CM002236.1;CM002236.1	155599;156082	156011;157284	+;+	1616	879	707	766	687	658	665	986	1133	1288	324	406	490	332	242	243	656	818	550	364	405	354	1479	1864	2011	1430	320	255	280
NCU08067	CM002236.1;CM002236.1;CM002236.1	158037;159507;159877	159428;159815;161116	+;+;+	2941	6449	5900	6210	5548	4833	5178	4147	4987	4992	4112	4311	6014	2416	1582	1700	5358	5701	4200	2465	2789	2403	9696	11950	11880	9668	1961	1791	1957
NCU08068	CM002236.1	162307	163765	+	1459	475	538	523	432	443	477	388	497	507	233	294	414	211	96	102	429	474	340	251	282	215	1105	1567	1504	1054	115	118	149
NCU08069	CM002236.1;CM002236.1	163963;164155	164007;166034	+;+	1925	323	510	303	209	214	219	176	280	265	294	257	360	100	77	68	205	287	153	196	233	142	620	701	703	601	132	62	127
NCU08070	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	169835;171442;171729;172246;172415;172560;172853	171365;171670;171825;172340;172480;172668;173197	-;-;-;-;-;-;-	2472	8516	5387	8177	6708	5858	6835	4137	5297	5132	6903	6768	8729	5294	3550	3102	8897	10122	6808	4477	4741	3427	19546	22531	21909	18888	3343	3489	4655
NCU08071	CM002236.1;CM002236.1;CM002236.1	173482;173775;174055	173701;173955;174938	+;+;+	1285	3086	2951	3032	3362	2853	2789	4483	5441	5231	938	1141	1751	1541	1288	1107	2506	2756	1970	1306	1778	1309	5721	6676	6675	5748	1013	1133	1249
NCU15001	CM002236.1	175041	175128	-	88	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
NCU08072	CM002236.1	175275	178146	-	2872	5937	4477	5378	4850	4561	4408	5338	6764	6403	2781	2644	3550	1944	1779	1309	5152	5585	4018	2920	3448	2872	8752	10437	10490	9018	1557	1268	1406
NCU08073	CM002236.1	178614	180242	-	1629	98	133	95	163	119	145	276	287	224	34	25	41	32	10	10	30	36	18	33	33	22	61	83	55	64	10	11	24
NCU08074	CM002236.1	181223	181975	+	753	23	32	10	27	15	16	29	44	43	0	6	6	0	4	0	0	8	0	2	0	3	6	4	2	7	0	0	0
NCU08075	CM002236.1;CM002236.1;CM002236.1;CM002236.1	182428;184075;184564;184796	183921;184498;184735;185051	-;-;-;-	2346	23	18	12	18	8	20	22	27	18	12	10	4	4	2	0	0	2	4	6	2	6	8	4	8	4	13	0	4
NCU08076	CM002236.1	186040	188208	+	2169	649	427	651	770	718	695	461	454	556	137	118	138	274	119	135	1323	1634	851	593	591	440	1799	2468	2413	1836	420	341	439
NCU08077	CM002236.1	188531	189595	-	1065	91	277	88	84	65	85	90	130	86	4	4	0	0	0	2	4	7	2	0	0	2	2	1	4	13	6	3	2
NCU08078	CM002236.1;CM002236.1	190407;190588	190506;191138	+;+	651	49	127	33	43	61	52	87	192	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2
NCU08079	CM002236.1;CM002236.1	193144;193803	193627;194064	-;-	746	2	3	7	7	15	0	3	6	3	1	0	2	0	0	0	5	2	1	0	4	0	1	5	0	0	6	3	2
NCU08080	CM002236.1	195021	195335	-	315	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
NCU16305	CM002236.1	195781	196290	-	510	2	5	1	2	2	4	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0
NCU08081	CM002236.1	198195	198497	+	303	0	0	0	4	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU08083	CM002236.1	208395	209343	-	949	2	2	0	0	0	4	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	8	7
NCU08084	CM002236.1;CM002236.1;CM002236.1;CM002236.1	210487;210925;211717;212108	210805;210945;212052;212487	+;+;+;+	1056	34	23	13	37	27	19	2	14	10	0	2	0	2	0	2	5	2	0	1	0	0	2	4	4	4	25	46	49
NCU08085	CM002236.1;CM002236.1;CM002236.1	214620;214824;215038	214770;214971;215734	+;+;+	996	121	162	59	118	104	103	127	142	163	0	0	0	0	4	0	0	0	0	2	0	2	0	0	0	0	35	65	39
NCU08086	CM002236.1	216105	216521	-	417	24	14	1	17	11	12	17	16	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	9	15	10
NCU08087	CM002236.1;CM002236.1	219396;220759	220697;220979	-;-	1523	51	47	16	47	60	51	20	27	19	0	0	0	0	0	0	0	0	2	4	3	0	0	0	6	0	6	0	8
NCU08089	CM002236.1	224662	224874	+	213	37	55	30	81	73	46	9	17	8	16	20	28	15	22	23	20	22	23	20	19	7	21	31	38	20	17	14	34
NCU16306	CM002236.1	226935	227879	-	945	2673	3270	3073	2435	2331	2330	1145	1454	1374	2003	2609	3189	1141	1214	1208	2078	2039	1664	1316	2227	1172	4049	5180	5193	4085	1181	1308	2410
NCU08090	CM002236.1	227818	228981	-	1164	4162	4979	4388	3323	3076	3312	1322	1858	1705	2401	2883	3437	823	632	539	2701	2926	2165	1765	1955	1646	3947	4641	4530	3909	575	691	516
NCU10622	CM002236.1;CM002236.1	231496;232512	232411;232838	-;-	1243	384	327	334	327	276	322	528	716	620	144	221	240	264	194	161	337	362	209	149	214	99	685	856	835	694	157	168	279
NCU08091	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	233028;233215;233373;233623;233623;234407	233256;233558;233558;234749;234247;234489	+;+;+;+;+;+	1658	2026	2057	2108	2054	1801	2030	2741	3103	3499	1807	1716	2482	1420	883	753	2491	3076	1925	1294	1457	1119	3864	4760	4655	3923	919	759	1255
NCU08092	CM002236.1;CM002236.1;CM002236.1	234736;235569;235978	235448;235880;237045	-;-;-	2093	24703	17165	24696	21518	20613	22157	18242	21047	21745	22674	26404	35932	16554	6849	12586	34990	34311	28839	19065	21014	16050	43754	54323	54583	42858	13894	12725	18910
NCU08093	CM002236.1;CM002236.1;CM002236.1;CM002236.1	237549;237865;238034;238147	237797;237894;238084;238578	+;+;+;+	762	28314	25409	28333	25936	24431	23599	24530	29126	27582	22444	23845	41454	18962	12074	13268	28837	30550	23321	19344	22385	16633	77743	94953	93119	78102	11144	13043	17189
NCU08094	CM002236.1;CM002236.1	239112;239749	239506;240765	+;+	1412	6449	8803	6914	6323	5737	6582	4976	5971	5761	8373	9326	13042	3307	3112	2792	5264	4616	4771	3003	3605	3084	6601	8539	8690	6590	3717	2682	2916
NCU08095	CM002236.1;CM002236.1	240744;241536	241330;241840	-;-	892	2818	1483	2894	2997	2789	1915	6184	5963	7761	594	582	855	684	152	248	15351	18513	13165	3570	3922	2702	8464	11166	11646	8417	1589	1217	2637
NCU08096	CM002236.1;CM002236.1	243324;244178	243346;246248	-;-	2094	117	188	92	141	108	133	77	73	92	39	47	85	31	13	17	77	63	66	62	50	32	118	139	110	104	61	31	80
NCU16307	CM002236.1;CM002236.1	246887;247422	247378;247478	-;-	549	16	26	14	22	10	12	18	12	13	12	5	9	0	4	2	20	12	9	3	1	7	11	20	27	15	18	5	0
NCU08097	CM002236.1;CM002236.1;CM002236.1	249097;250847;251518	250790;251445;251944	-;-;-	2720	280	458	297	321	284	376	228	295	296	115	107	158	88	56	47	177	165	118	93	137	104	239	294	290	250	133	109	103
NCU08098	CM002236.1	253456	254492	+	1037	330	274	235	310	259	347	135	194	235	42	68	67	77	58	59	207	216	170	124	184	101	316	317	288	257	74	84	76
NCU08099	CM002236.1	254975	255694	-	720	678	399	367	760	650	664	534	670	450	81	78	98	171	374	162	325	212	254	129	225	158	746	908	958	751	94	258	128
NCU08100	CM002236.1	256166	256694	+	529	238	157	166	254	231	231	223	274	173	33	37	42	99	240	114	153	152	121	67	100	58	327	393	403	315	100	184	273
NCU08101	CM002236.1	257493	259361	+	1869	2	4	0	0	2	0	0	0	0	0	0	0	4	0	0	0	2	0	0	2	0	4	0	4	2	0	2	2
NCU15002	CM002236.1	260802	260909	+	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU15003	CM002236.1	261512	261618	+	107	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU08102	CM002236.1	262020	263387	-	1368	12	30	18	22	11	18	8	37	19	0	3	0	0	0	0	0	4	2	2	2	0	0	0	0	0	2	6	2
NCU08103	CM002236.1	264036	265388	-	1353	7	62	20	21	34	21	8	2	0	0	4	8	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2
NCU08105	CM002236.1;CM002236.1	291633;292700	292267;292877	+;+	813	0	0	4	1	1	3	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU08106	CM002236.1	293167	294573	+	1407	0	7	0	0	3	4	3	8	0	0	0	0	0	0	0	1	2	0	0	1	0	1	2	0	1	2	2	0
NCU08107	CM002236.1	296499	297770	-	1272	2	0	0	2	3	0	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU08109	CM002236.1	302353	303729	+	1377	2	4	2	4	0	6	23	9	21	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	2	0
NCU08110	CM002236.1;CM002236.1;CM002236.1	305342;306102;308323	305993;308216;308567	-;-;-	3012	6149	4416	5405	5453	4640	4296	5714	7108	6483	1618	1672	2410	1600	1333	1082	5988	5821	4351	2471	2808	2441	9338	11558	11105	9475	1333	1218	1206
NCU08111	CM002236.1;CM002236.1	309019;310330	310273;310364	+;+	1290	2293	2822	2488	2132	2039	2297	1479	2042	1842	1566	1606	2262	578	647	648	1435	1314	1144	680	891	930	2530	2903	2938	2275	723	634	549
