#chrom	start	end	name	score	strand	thickStart	thickEnd	itemRGB	blockCount	blockSizes	blockStart	deepTools_group
CM002238.1	338157	347776	119-41_CUT_RUN_WT_K27me3__peak_99	228.0	.	338157	347776	0	1	9619	338154	genes
CM002236.1	241868	267863	119-41_CUT_RUN_WT_K27me3__peak_12	482.0	.	241868	267863	0	1	25995	241866	genes
CM002240.1	6189245	6208503	119-41_CUT_RUN_WT_K27me3__peak_239	785.0	.	6189245	6208503	0	1	19258	6189239	genes
CM002238.1	4706822	4833476	119-41_CUT_RUN_WT_K27me3__peak_121	1203.0	.	4706822	4833476	0	1	126654	4706818	genes
CM002241.1	3790404	3822038	119-41_CUT_RUN_WT_K27me3__peak_290	937.0	.	3790404	3822038	0	1	31634	3790401	genes
CM002238.1	4853204	4884669	119-41_CUT_RUN_WT_K27me3__peak_124	643.0	.	4853204	4884669	0	1	31465	4853200	genes
CM002236.1	33194	54616	119-41_CUT_RUN_WT_K27me3__peak_2	568.0	.	33194	54616	0	1	21422	33191	genes
CM002238.1	380123	405434	119-41_CUT_RUN_WT_K27me3__peak_100	958.0	.	380123	405434	0	1	25311	380120	genes
CM002238.1	4568810	4579828	119-41_CUT_RUN_WT_K27me3__peak_117	456.0	.	4568810	4579828	0	1	11018	4568806	genes
CM002238.1	5052661	5064402	119-41_CUT_RUN_WT_K27me3__peak_134	525.0	.	5052661	5064402	0	1	11741	5052656	genes
CM002241.1	425704	436165	119-41_CUT_RUN_WT_K27me3__peak_267	344.0	.	425704	436165	0	1	10461	425700	genes
CM002238.1	4595712	4610562	119-41_CUT_RUN_WT_K27me3__peak_118	74.0	.	4595712	4610562	0	1	14850	4595708	genes
CM002241.1	441748	484577	119-41_CUT_RUN_WT_K27me3__peak_268	924.0	.	441748	484577	0	1	42829	441744	genes
CM002238.1	5084380	5104142	119-41_CUT_RUN_WT_K27me3__peak_135	791.0	.	5084380	5104142	0	1	19762	5084375	genes
CM002241.1	3487253	3489607	119-41_CUT_RUN_WT_K27me3__peak_279	135.0	.	3487253	3489607	0	1	2354	3487250	genes
CM002242.1	3670730	3678132	119-41_CUT_RUN_WT_K27me3__peak_352	101.0	.	3670730	3678132	0	1	7402	3670727	genes
CM002236.1	178047	200007	119-41_CUT_RUN_WT_K27me3__peak_9	487.0	.	178047	200007	0	1	21960	178046	genes
CM002241.1	3696352	3786559	119-41_CUT_RUN_WT_K27me3__peak_289	1022.0	.	3696352	3786559	0	1	90207	3696349	genes
CM002240.1	6020923	6068359	119-41_CUT_RUN_WT_K27me3__peak_232	529.0	.	6020923	6068359	0	1	47436	6020917	genes
CM002241.1	3537588	3556248	119-41_CUT_RUN_WT_K27me3__peak_281	281.0	.	3537588	3556248	0	1	18660	3537585	genes
CM002242.1	908730	949552	119-41_CUT_RUN_WT_K27me3__peak_338	865.0	.	908730	949552	0	1	40822	908721	genes
CM002238.1	260026	304478	119-41_CUT_RUN_WT_K27me3__peak_96	900.0	.	260026	304478	0	1	44452	260024	genes
CM002236.1	9667177	9701711	119-41_CUT_RUN_WT_K27me3__peak_41	150.0	.	9667177	9701711	0	1	34534	9667168	genes
CM002240.1	550638	580884	119-41_CUT_RUN_WT_K27me3__peak_215	545.0	.	550638	580884	0	1	30246	550633	genes
CM002240.1	6112431	6127971	119-41_CUT_RUN_WT_K27me3__peak_235	822.0	.	6112431	6127971	0	1	15540	6112425	genes
CM002240.1	636833	669794	119-41_CUT_RUN_WT_K27me3__peak_219	1145.0	.	636833	669794	0	1	32961	636827	genes
CM002240.1	771039	782207	119-41_CUT_RUN_WT_K27me3__peak_221	285.0	.	771039	782207	0	1	11168	771032	genes
CM002240.1	6096480	6104634	119-41_CUT_RUN_WT_K27me3__peak_234	692.0	.	6096480	6104634	0	1	8154	6096474	genes
CM002239.1	300323	414965	119-41_CUT_RUN_WT_K27me3__peak_162	1062.0	.	300323	414965	0	1	114642	300320	genes
CM002241.1	4054072	4058332	119-41_CUT_RUN_WT_K27me3__peak_302	131.0	.	4054072	4058332	0	1	4260	4054068	genes
CM002240.1	6210881	6248013	119-41_CUT_RUN_WT_K27me3__peak_240	933.0	.	6210881	6248013	0	1	37132	6210875	genes
CM002240.1	6383965	6393235	119-41_CUT_RUN_WT_K27me3__peak_246	187.0	.	6383965	6393235	0	1	9270	6383959	genes
CM002242.1	264133	269137	119-41_CUT_RUN_WT_K27me3__peak_325	32.0	.	264133	269137	0	1	5004	264131	genes
CM002242.1	238055	259511	119-41_CUT_RUN_WT_K27me3__peak_324	257.0	.	238055	259511	0	1	21456	238053	genes
CM002238.1	5013401	5036089	119-41_CUT_RUN_WT_K27me3__peak_132	827.0	.	5013401	5036089	0	1	22688	5013396	genes
CM002239.1	167434	213330	119-41_CUT_RUN_WT_K27me3__peak_157	881.0	.	167434	213330	0	1	45896	167433	genes
CM002238.1	5202344	5207829	119-41_CUT_RUN_WT_K27me3__peak_143	88.0	.	5202344	5207829	0	1	5485	5202339	genes
CM002237.1	4443692	4458252	119-41_CUT_RUN_WT_K27me3__peak_83	335.0	.	4443692	4458252	0	1	14560	4443688	genes
CM002241.1	4118206	4124866	119-41_CUT_RUN_WT_K27me3__peak_308	55.0	.	4118206	4124866	0	1	6660	4118202	genes
CM002237.1	559635	572569	119-41_CUT_RUN_WT_K27me3__peak_57	99.0	.	559635	572569	0	1	12934	559630	genes
CM002240.1	796100	807444	119-41_CUT_RUN_WT_K27me3__peak_222	59.0	.	796100	807444	0	1	11344	796093	genes
CM002236.1	9649520	9653341	119-41_CUT_RUN_WT_K27me3__peak_40	63.0	.	9649520	9653341	0	1	3821	9649511	genes
CM002237.1	4294913	4300821	119-41_CUT_RUN_WT_K27me3__peak_79	49.0	.	4294913	4300821	0	1	5908	4294909	genes
CM002238.1	148070	170542	119-41_CUT_RUN_WT_K27me3__peak_90	117.0	.	148070	170542	0	1	22472	148069	genes
CM002238.1	553492	563184	119-41_CUT_RUN_WT_K27me3__peak_103	278.0	.	553492	563184	0	1	9692	553487	genes
CM002238.1	216706	257930	119-41_CUT_RUN_WT_K27me3__peak_95	970.0	.	216706	257930	0	1	41224	216704	genes
CM002238.1	570605	576966	119-41_CUT_RUN_WT_K27me3__peak_104	103.0	.	570605	576966	0	1	6361	570600	genes
CM002241.1	405711	423503	119-41_CUT_RUN_WT_K27me3__peak_266	205.0	.	405711	423503	0	1	17792	405707	genes
CM002239.1	5827976	5837222	119-41_CUT_RUN_WT_K27me3__peak_202	41.0	.	5827976	5837222	0	1	9246	5827971	genes
CM002238.1	408386	431288	119-41_CUT_RUN_WT_K27me3__peak_101	153.0	.	408386	431288	0	1	22902	408382	genes
CM002242.1	4162264	4172915	119-41_CUT_RUN_WT_K27me3__peak_360	73.0	.	4162264	4172915	0	1	10651	4162260	genes
CM002242.1	3660914	3665074	119-41_CUT_RUN_WT_K27me3__peak_351	54.0	.	3660914	3665074	0	1	4160	3660911	genes
CM002239.1	456005	459204	119-41_CUT_RUN_WT_K27me3__peak_165	29.0	.	456005	459204	0	1	3199	456001	genes
CM002238.1	447722	464659	119-41_CUT_RUN_WT_K27me3__peak_102	380.0	.	447722	464659	0	1	16937	447718	genes
CM002237.1	49679	59511	119-41_CUT_RUN_WT_K27me3__peak_47	235.0	.	49679	59511	0	1	9832	49675	genes
CM002238.1	5223999	5233273	119-41_CUT_RUN_WT_K27me3__peak_146	318.0	.	5223999	5233273	0	1	9274	5223994	genes
CM002238.1	4621859	4665176	119-41_CUT_RUN_WT_K27me3__peak_119	738.0	.	4621859	4665176	0	1	43317	4621855	genes
CM002236.1	311463	321707	119-41_CUT_RUN_WT_K27me3__peak_14	321.0	.	311463	321707	0	1	10244	311460	genes
CM002242.1	3731008	3742857	119-41_CUT_RUN_WT_K27me3__peak_353	40.0	.	3731008	3742857	0	1	11849	3731005	genes
CM002238.1	22187	33981	119-41_CUT_RUN_WT_K27me3__peak_87	215.0	.	22187	33981	0	1	11794	22185	genes
CM002237.1	4434301	4437063	119-41_CUT_RUN_WT_K27me3__peak_82	31.0	.	4434301	4437063	0	1	2762	4434297	genes
CM002236.1	57718	65376	119-41_CUT_RUN_WT_K27me3__peak_3	63.0	.	57718	65376	0	1	7658	57713	genes
CM002238.1	4513589	4517816	119-41_CUT_RUN_WT_K27me3__peak_113	53.0	.	4513589	4517816	0	1	4227	4513585	genes
CM002242.1	4104932	4111795	119-41_CUT_RUN_WT_K27me3__peak_359	111.0	.	4104932	4111795	0	1	6863	4104928	genes
CM002238.1	4960687	5005188	119-41_CUT_RUN_WT_K27me3__peak_131	246.0	.	4960687	5005188	0	1	44501	4960683	genes
CM002238.1	4672575	4697058	119-41_CUT_RUN_WT_K27me3__peak_120	713.0	.	4672575	4697058	0	1	24483	4672571	genes
CM002241.1	3464342	3477935	119-41_CUT_RUN_WT_K27me3__peak_278	211.0	.	3464342	3477935	0	1	13593	3464339	genes
CM002237.1	103322	109545	119-41_CUT_RUN_WT_K27me3__peak_50	277.0	.	103322	109545	0	1	6223	103321	genes
CM002241.1	47485	57236	119-41_CUT_RUN_WT_K27me3__peak_251	141.0	.	47485	57236	0	1	9751	47481	genes
CM002238.1	5218086	5221952	119-41_CUT_RUN_WT_K27me3__peak_145	112.0	.	5218086	5221952	0	1	3866	5218081	genes
CM002238.1	5127052	5135418	119-41_CUT_RUN_WT_K27me3__peak_138	78.0	.	5127052	5135418	0	1	8366	5127047	genes
CM002240.1	5967741	5981539	119-41_CUT_RUN_WT_K27me3__peak_231	226.0	.	5967741	5981539	0	1	13798	5967736	genes
CM002239.1	5248492	5253300	119-41_CUT_RUN_WT_K27me3__peak_195	119.0	.	5248492	5253300	0	1	4808	5248487	genes
CM002241.1	531039	534496	119-41_CUT_RUN_WT_K27me3__peak_273	31.0	.	531039	534496	0	1	3457	531034	genes
CM002240.1	674672	692325	119-41_CUT_RUN_WT_K27me3__peak_220	205.0	.	674672	692325	0	1	17653	674666	genes
CM002242.1	3650474	3657673	119-41_CUT_RUN_WT_K27me3__peak_350	76.0	.	3650474	3657673	0	1	7199	3650471	genes
CM002241.1	3824471	3847384	119-41_CUT_RUN_WT_K27me3__peak_291	501.0	.	3824471	3847384	0	1	22913	3824468	genes
CM002239.1	54586	59511	119-41_CUT_RUN_WT_K27me3__peak_151	78.0	.	54586	59511	0	1	4925	54581	genes
CM002239.1	833333	845602	119-41_CUT_RUN_WT_K27me3__peak_182	29.0	.	833333	845602	0	1	12269	833325	genes
CM002237.1	4158621	4169802	119-41_CUT_RUN_WT_K27me3__peak_76	146.0	.	4158621	4169802	0	1	11181	4158617	genes
CM002236.1	6454030	6459862	119-41_CUT_RUN_WT_K27me3__peak_30	130.0	.	6454030	6459862	0	1	5832	6454024	genes
CM002241.1	172742	176183	119-41_CUT_RUN_WT_K27me3__peak_258	39.0	.	172742	176183	0	1	3441	172741	genes
CM002236.1	88531	100983	119-41_CUT_RUN_WT_K27me3__peak_4	253.0	.	88531	100983	0	1	12452	88523	genes
CM002238.1	196812	201637	119-41_CUT_RUN_WT_K27me3__peak_93	281.0	.	196812	201637	0	1	4825	196811	genes
CM002237.1	69342	79638	119-41_CUT_RUN_WT_K27me3__peak_48	172.0	.	69342	79638	0	1	10296	69336	genes
CM002241.1	35535	42967	119-41_CUT_RUN_WT_K27me3__peak_250	38.0	.	35535	42967	0	1	7432	35532	genes
CM002238.1	85304	93855	119-41_CUT_RUN_WT_K27me3__peak_89	88.0	.	85304	93855	0	1	8551	85296	genes
CM002241.1	230950	248302	119-41_CUT_RUN_WT_K27me3__peak_260	229.0	.	230950	248302	0	1	17352	230948	genes
CM002238.1	5114264	5120787	119-41_CUT_RUN_WT_K27me3__peak_137	106.0	.	5114264	5120787	0	1	6523	5114259	genes
CM002238.1	5143479	5147055	119-41_CUT_RUN_WT_K27me3__peak_139	50.0	.	5143479	5147055	0	1	3576	5143474	genes
CM002242.1	1314857	1318853	119-41_CUT_RUN_WT_K27me3__peak_342	53.0	.	1314857	1318853	0	1	3996	1314856	genes
CM002239.1	753851	767265	119-41_CUT_RUN_WT_K27me3__peak_177	287.0	.	753851	767265	0	1	13414	753844	genes
CM002239.1	237528	260327	119-41_CUT_RUN_WT_K27me3__peak_159	263.0	.	237528	260327	0	1	22799	237526	genes
CM002241.1	3868073	3872278	119-41_CUT_RUN_WT_K27me3__peak_294	436.0	.	3868073	3872278	0	1	4205	3868070	genes
CM002239.1	66924	77701	119-41_CUT_RUN_WT_K27me3__peak_152	136.0	.	66924	77701	0	1	10777	66918	genes
CM002241.1	3661851	3678902	119-41_CUT_RUN_WT_K27me3__peak_288	100.0	.	3661851	3678902	0	1	17051	3661848	genes
CM002241.1	3645814	3650451	119-41_CUT_RUN_WT_K27me3__peak_287	153.0	.	3645814	3650451	0	1	4637	3645811	genes
CM002242.1	3760739	3764781	119-41_CUT_RUN_WT_K27me3__peak_354	40.0	.	3760739	3764781	0	1	4042	3760736	genes
CM002241.1	119928	136349	119-41_CUT_RUN_WT_K27me3__peak_256	224.0	.	119928	136349	0	1	16421	119927	genes
CM002242.1	1343785	1356823	119-41_CUT_RUN_WT_K27me3__peak_343	775.0	.	1343785	1356823	0	1	13038	1343784	genes
CM002239.1	672571	677376	119-41_CUT_RUN_WT_K27me3__peak_173	130.0	.	672571	677376	0	1	4805	672565	genes
CM002238.1	4533045	4537485	119-41_CUT_RUN_WT_K27me3__peak_115	62.0	.	4533045	4537485	0	1	4440	4533041	genes
CM002242.1	153187	159393	119-41_CUT_RUN_WT_K27me3__peak_323	29.0	.	153187	159393	0	1	6206	153186	genes
CM002239.1	693639	701029	119-41_CUT_RUN_WT_K27me3__peak_175	176.0	.	693639	701029	0	1	7390	693633	genes
CM002237.1	146951	151098	119-41_CUT_RUN_WT_K27me3__peak_51	85.0	.	146951	151098	0	1	4147	146950	genes
CM002238.1	1337063	1340144	119-41_CUT_RUN_WT_K27me3__peak_107	182.0	.	1337063	1340144	0	1	3081	1337062	genes
CM002242.1	305375	320746	119-41_CUT_RUN_WT_K27me3__peak_327	205.0	.	305375	320746	0	1	15371	305372	genes
CM002236.1	479404	487365	119-41_CUT_RUN_WT_K27me3__peak_20	77.0	.	479404	487365	0	1	7961	479400	genes
CM002239.1	437721	440236	119-41_CUT_RUN_WT_K27me3__peak_164	29.0	.	437721	440236	0	1	2515	437717	genes
CM002239.1	628356	665488	119-41_CUT_RUN_WT_K27me3__peak_172	742.0	.	628356	665488	0	1	37132	628350	genes
CM002239.1	534056	537209	119-41_CUT_RUN_WT_K27me3__peak_170	78.0	.	534056	537209	0	1	3153	534051	genes
CM002241.1	138375	169359	119-41_CUT_RUN_WT_K27me3__peak_257	484.0	.	138375	169359	0	1	30984	138374	genes
CM002239.1	218084	231879	119-41_CUT_RUN_WT_K27me3__peak_158	185.0	.	218084	231879	0	1	13795	218082	genes
CM002239.1	488391	498242	119-41_CUT_RUN_WT_K27me3__peak_168	113.0	.	488391	498242	0	1	9851	488387	genes
CM002242.1	692320	722011	119-41_CUT_RUN_WT_K27me3__peak_336	697.0	.	692320	722011	0	1	29691	692314	genes
CM002239.1	539471	624034	119-41_CUT_RUN_WT_K27me3__peak_171	617.0	.	539471	624034	0	1	84563	539466	genes
CM002242.1	96936	118370	119-41_CUT_RUN_WT_K27me3__peak_321	180.0	.	96936	118370	0	1	21434	96927	genes
CM002240.1	6378608	6381067	119-41_CUT_RUN_WT_K27me3__peak_245	44.0	.	6378608	6381067	0	1	2459	6378602	genes
CM002241.1	3874737	3901703	119-41_CUT_RUN_WT_K27me3__peak_295	217.0	.	3874737	3901703	0	1	26966	3874734	genes
CM002242.1	465484	472352	119-41_CUT_RUN_WT_K27me3__peak_333	29.0	.	465484	472352	0	1	6868	465480	genes
CM002236.1	370754	377336	119-41_CUT_RUN_WT_K27me3__peak_18	68.0	.	370754	377336	0	1	6582	370751	genes
CM002241.1	64365	67086	119-41_CUT_RUN_WT_K27me3__peak_252	57.0	.	64365	67086	0	1	2721	64359	genes
CM002241.1	3915127	3926477	119-41_CUT_RUN_WT_K27me3__peak_296	69.0	.	3915127	3926477	0	1	11350	3915124	genes
CM002237.1	1675329	1688864	119-41_CUT_RUN_WT_K27me3__peak_63	345.0	.	1675329	1688864	0	1	13535	1675328	genes
CM002239.1	703799	750252	119-41_CUT_RUN_WT_K27me3__peak_176	571.0	.	703799	750252	0	1	46453	703792	genes
CM002237.1	1733796	1738452	119-41_CUT_RUN_WT_K27me3__peak_66	122.0	.	1733796	1738452	0	1	4656	1733795	genes
CM002239.1	786480	795554	119-41_CUT_RUN_WT_K27me3__peak_179	48.0	.	786480	795554	0	1	9074	786473	genes
CM002236.1	329812	332326	119-41_CUT_RUN_WT_K27me3__peak_15	55.0	.	329812	332326	0	1	2514	329809	genes
CM002239.1	274220	287837	119-41_CUT_RUN_WT_K27me3__peak_160	129.0	.	274220	287837	0	1	13617	274218	genes
CM002241.1	178653	218911	119-41_CUT_RUN_WT_K27me3__peak_259	534.0	.	178653	218911	0	1	40258	178652	genes
CM002238.1	4925606	4933443	119-41_CUT_RUN_WT_K27me3__peak_128	161.0	.	4925606	4933443	0	1	7837	4925602	genes
CM002242.1	1586214	1608880	119-41_CUT_RUN_WT_K27me3__peak_344	54.0	.	1586214	1608880	0	1	22666	1586213	genes
CM002237.1	1464188	1467458	119-41_CUT_RUN_WT_K27me3__peak_61	30.0	.	1464188	1467458	0	1	3270	1464187	genes
CM002237.1	417402	420935	119-41_CUT_RUN_WT_K27me3__peak_54	43.0	.	417402	420935	0	1	3533	417398	genes
CM002242.1	436994	440812	119-41_CUT_RUN_WT_K27me3__peak_332	49.0	.	436994	440812	0	1	3818	436990	genes
CM002239.1	290426	296740	119-41_CUT_RUN_WT_K27me3__peak_161	86.0	.	290426	296740	0	1	6314	290424	genes
CM002236.1	8718189	8722931	119-41_CUT_RUN_WT_K27me3__peak_33	36.0	.	8718189	8722931	0	1	4742	8718181	genes
CM002239.1	463148	479936	119-41_CUT_RUN_WT_K27me3__peak_166	488.0	.	463148	479936	0	1	16788	463144	genes
CM002239.1	5203374	5210067	119-41_CUT_RUN_WT_K27me3__peak_194	77.0	.	5203374	5210067	0	1	6693	5203369	genes
CM002237.1	4039030	4048091	119-41_CUT_RUN_WT_K27me3__peak_74	87.0	.	4039030	4048091	0	1	9061	4039026	genes
CM002240.1	20686	24246	119-41_CUT_RUN_WT_K27me3__peak_212	29.0	.	20686	24246	0	1	3560	20684	genes
CM002240.1	5954792	5957535	119-41_CUT_RUN_WT_K27me3__peak_229	28.0	.	5954792	5957535	0	1	2743	5954787	genes
CM002240.1	5943180	5947298	119-41_CUT_RUN_WT_K27me3__peak_228	33.0	.	5943180	5947298	0	1	4118	5943175	genes
CM002239.1	5148767	5157694	119-41_CUT_RUN_WT_K27me3__peak_192	32.0	.	5148767	5157694	0	1	8927	5148762	genes
CM002242.1	385367	392567	119-41_CUT_RUN_WT_K27me3__peak_330	49.0	.	385367	392567	0	1	7200	385364	genes
CM002242.1	1215246	1218558	119-41_CUT_RUN_WT_K27me3__peak_340	43.0	.	1215246	1218558	0	1	3312	1215245	genes
CM002239.1	798358	802032	119-41_CUT_RUN_WT_K27me3__peak_180	85.0	.	798358	802032	0	1	3674	798351	genes
CM002242.1	369802	377408	119-41_CUT_RUN_WT_K27me3__peak_329	71.0	.	369802	377408	0	1	7606	369799	genes
CM002239.1	502519	525693	119-41_CUT_RUN_WT_K27me3__peak_169	401.0	.	502519	525693	0	1	23174	502514	genes
CM002242.1	659771	679018	119-41_CUT_RUN_WT_K27me3__peak_335	475.0	.	659771	679018	0	1	19247	659765	genes
CM002239.1	3024781	3028240	119-41_CUT_RUN_WT_K27me3__peak_187	28.0	.	3024781	3028240	0	1	3459	3024778	genes
CM002239.1	5073999	5099175	119-41_CUT_RUN_WT_K27me3__peak_190	131.0	.	5073999	5099175	0	1	25176	5073994	genes
CM002236.1	8862100	8872150	119-41_CUT_RUN_WT_K27me3__peak_35	30.0	.	8862100	8872150	0	1	10050	8862092	genes
