PeakID (cmd=annotatePeaks.pl 129-33_ChIP_WT_K27me3_AM_Rep_2_peaks.txt /home/evt82290/Research/GCA_000182925.2_NC12_genomic.fna)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
CM002238.1-7226	CM002238.1	448395	457744	+	9255.8	9349.000	NA	NA	NA	NA								
CM002238.1-7557	CM002238.1	285765	291365	+	9151.6	5600.000	NA	NA	NA	NA								
CM002242.1-2518	CM002242.1	884804	891315	+	9007.3	6511.000	NA	NA	NA	NA								
CM002241.1-5232	CM002241.1	151459	159595	+	8804.3	8136.000	NA	NA	NA	NA								
CM002240.1-3070	CM002240.1	6027302	6034132	+	8521.2	6830.000	NA	NA	NA	NA								
CM002238.1-10298	CM002238.1	261097	266503	+	8474.4	5406.000	NA	NA	NA	NA								
CM002236.1-50	CM002236.1	168	2983	+	8380.9	2815.000	NA	NA	NA	NA								
CM002239.1-7798	CM002239.1	5878268	5885253	+	8239.4	6985.000	NA	NA	NA	NA								
CM002239.1-7683	CM002239.1	503625	512613	+	8219.3	8988.000	NA	NA	NA	NA								
CM002240.1-3706	CM002240.1	6173830	6178910	+	8048.4	5080.000	NA	NA	NA	NA								
CM002238.1-7975	CM002238.1	279591	284718	+	7990.9	5127.000	NA	NA	NA	NA								
CM002236.1-1133	CM002236.1	9758073	9763630	+	7970.9	5557.000	NA	NA	NA	NA								
CM002240.1-4081	CM002240.1	6096187	6102523	+	7495.4	6336.000	NA	NA	NA	NA								
CM002239.1-8771	CM002239.1	109099	114353	+	7435.3	5254.000	NA	NA	NA	NA								
CM002239.1-7746	CM002239.1	248987	256302	+	7233.7	7315.000	NA	NA	NA	NA								
CM002239.1-6194	CM002239.1	19974	25546	+	7162.9	5572.000	NA	NA	NA	NA								
CM002239.1-7855	CM002239.1	758347	765739	+	7129.5	7392.000	NA	NA	NA	NA								
CM002239.1-4232	CM002239.1	5848474	5853550	+	7081.4	5076.000	NA	NA	NA	NA								
CM002237.1-1936	CM002237.1	4446732	4454020	+	6914.4	7288.000	NA	NA	NA	NA								
CM002238.1-10432	CM002238.1	217239	223536	+	6879.7	6297.000	NA	NA	NA	NA								
CM002241.1-4986	CM002241.1	208068	214931	+	6800.9	6863.000	NA	NA	NA	NA								
CM002242.1-3429	CM002242.1	942677	948223	+	6703.4	5546.000	NA	NA	NA	NA								
CM002239.1-6971	CM002239.1	706352	712411	+	6672.7	6059.000	NA	NA	NA	NA								
CM002238.1-7793	CM002238.1	4864879	4871301	+	6654.0	6422.000	NA	NA	NA	NA								
CM002241.1-3301	CM002241.1	444311	449998	+	6587.2	5687.000	NA	NA	NA	NA								
CM002239.1-7702	CM002239.1	612820	618849	+	6585.9	6029.000	NA	NA	NA	NA								
CM002241.1-5644	CM002241.1	160026	166917	+	6507.1	6891.000	NA	NA	NA	NA								
CM002238.1-11560	CM002238.1	4572647	4578811	+	6182.5	6164.000	NA	NA	NA	NA								
CM002241.1-5095	CM002241.1	23210	27597	+	6003.6	4387.000	NA	NA	NA	NA								
CM002236.1-2782	CM002236.1	186271	191671	+	5803.2	5400.000	NA	NA	NA	NA								
CM002241.1-3315	CM002241.1	3731356	3734633	+	5680.3	3277.000	NA	NA	NA	NA								
CM002241.1-9123	CM002241.1	3894382	3901044	+	5634.9	6662.000	NA	NA	NA	NA								
CM002242.1-1625	CM002242.1	250428	256282	+	5561.5	5854.000	NA	NA	NA	NA								
CM002238.1-10943	CM002238.1	5054417	5059671	+	5403.9	5254.000	NA	NA	NA	NA								
CM002238.1-8219	CM002238.1	5225743	5230449	+	5359.8	4706.000	NA	NA	NA	NA								
CM002240.1-4062	CM002240.1	681026	686780	+	5318.4	5754.000	NA	NA	NA	NA								
CM002237.1-4093	CM002237.1	32125	37437	+	5242.3	5312.000	NA	NA	NA	NA								
CM002241.1-6894	CM002241.1	428249	432927	+	5208.9	4678.000	NA	NA	NA	NA								
CM002236.1-3252	CM002236.1	243540	250340	+	5005.9	6800.000	NA	NA	NA	NA								
CM002236.1-7324	CM002236.1	12104	16203	+	4957.8	4099.000	NA	NA	NA	NA								
CM002242.1-2748	CM002242.1	4197375	4201887	+	4948.4	4512.000	NA	NA	NA	NA								
CM002241.1-7358	CM002241.1	125761	130887	+	4924.4	5126.000	NA	NA	NA	NA								
CM002241.1-10193	CM002241.1	16415	19985	+	4919.0	3570.000	NA	NA	NA	NA								
CM002236.1-5369	CM002236.1	314410	320044	+	4915.0	5634.000	NA	NA	NA	NA								
CM002241.1-5017	CM002241.1	3703158	3708276	+	4883.0	5118.000	NA	NA	NA	NA								
CM002242.1-2237	CM002242.1	5757	9436	+	4724.0	3679.000	NA	NA	NA	NA								
CM002238.1-12598	CM002238.1	4690045	4694092	+	4659.9	4047.000	NA	NA	NA	NA								
CM002238.1-10740	CM002238.1	4874641	4879873	+	4650.6	5232.000	NA	NA	NA	NA								
CM002239.1-5918	CM002239.1	187244	191284	+	4645.2	4040.000	NA	NA	NA	NA								
CM002239.1-8211	CM002239.1	406740	412541	+	4614.5	5801.000	NA	NA	NA	NA								
CM002240.1-3914	CM002240.1	6022799	6026666	+	4606.5	3867.000	NA	NA	NA	NA								
CM002241.1-5770	CM002241.1	3469694	3474128	+	4545.1	4434.000	NA	NA	NA	NA								
CM002238.1-8030	CM002238.1	267064	269998	+	4521.0	2934.000	NA	NA	NA	NA								
CM002240.1-3667	CM002240.1	6051302	6055046	+	4446.2	3744.000	NA	NA	NA	NA								
CM002238.1-7597	CM002238.1	5060119	5063386	+	4331.4	3267.000	NA	NA	NA	NA								
CM002239.1-8349	CM002239.1	657614	661666	+	4326.0	4052.000	NA	NA	NA	NA								
CM002241.1-4889	CM002241.1	3545623	3549771	+	4322.0	4148.000	NA	NA	NA	NA								
CM002237.1-2397	CM002237.1	51428	56908	+	4223.2	5480.000	NA	NA	NA	NA								
CM002236.1-2034	CM002236.1	195230	199172	+	4160.4	3942.000	NA	NA	NA	NA								
CM002240.1-6447	CM002240.1	772817	778186	+	4149.7	5369.000	NA	NA	NA	NA								
CM002238.1-8870	CM002238.1	4724268	4728990	+	4077.6	4722.000	NA	NA	NA	NA								
CM002242.1-2949	CM002242.1	108071	112075	+	4054.9	4004.000	NA	NA	NA	NA								
CM002240.1-3791	CM002240.1	5975707	5979442	+	4044.2	3735.000	NA	NA	NA	NA								
CM002237.1-1790	CM002237.1	4464312	4468256	+	4033.5	3944.000	NA	NA	NA	NA								
CM002239.1-5640	CM002239.1	5868425	5872199	+	3962.7	3774.000	NA	NA	NA	NA								
CM002239.1-8770	CM002239.1	101731	105991	+	3946.7	4260.000	NA	NA	NA	NA								
CM002239.1-7332	CM002239.1	223133	226658	+	3811.8	3525.000	NA	NA	NA	NA								
CM002237.1-1011	CM002237.1	1679715	1684818	+	3805.1	5103.000	NA	NA	NA	NA								
CM002239.1-5072	CM002239.1	141034	143404	+	3730.4	2370.000	NA	NA	NA	NA								
CM002240.1-2583	CM002240.1	6235167	6238934	+	3666.2	3767.000	NA	NA	NA	NA								
CM002241.1-5611	CM002241.1	3868783	3871502	+	3659.6	2719.000	NA	NA	NA	NA								
CM002236.1-2145	CM002236.1	5906	8493	+	3612.8	2587.000	NA	NA	NA	NA								
CM002239.1-8675	CM002239.1	662266	664929	+	3612.8	2663.000	NA	NA	NA	NA								
CM002241.1-5744	CM002241.1	342448	347314	+	3611.5	4866.000	NA	NA	NA	NA								
CM002241.1-5247	CM002241.1	351624	356189	+	3588.8	4565.000	NA	NA	NA	NA								
CM002237.1-1390	CM002237.1	18723	21586	+	3526.0	2863.000	NA	NA	NA	NA								
CM002241.1-4727	CM002241.1	3888384	3892244	+	3500.6	3860.000	NA	NA	NA	NA								
CM002239.1-7379	CM002239.1	5080319	5084931	+	3445.9	4612.000	NA	NA	NA	NA								
CM002239.1-5714	CM002239.1	5864851	5867553	+	3345.7	2702.000	NA	NA	NA	NA								
CM002239.1-10418	CM002239.1	743239	746659	+	3303.0	3420.000	NA	NA	NA	NA								
CM002238.1-9596	CM002238.1	427623	430877	+	3260.2	3254.000	NA	NA	NA	NA								
CM002237.1-4294	CM002237.1	71094	75076	+	3257.5	3982.000	NA	NA	NA	NA								
CM002237.1-1373	CM002237.1	1676348	1679211	+	3246.9	2863.000	NA	NA	NA	NA								
CM002241.1-5320	CM002241.1	3504939	3507377	+	3238.8	2438.000	NA	NA	NA	NA								
CM002236.1-2208	CM002236.1	90630	94349	+	3226.8	3719.000	NA	NA	NA	NA								
CM002239.1-3206	CM002239.1	5927897	5929950	+	3220.2	2053.000	NA	NA	NA	NA								
CM002240.1-4816	CM002240.1	5970409	5975267	+	3217.5	4858.000	NA	NA	NA	NA								
CM002241.1-5689	CM002241.1	3727878	3730830	+	3164.1	2952.000	NA	NA	NA	NA								
CM002238.1-10121	CM002238.1	4975553	4979097	+	3148.0	3544.000	NA	NA	NA	NA								
CM002241.1-7903	CM002241.1	3836614	3840236	+	3045.2	3622.000	NA	NA	NA	NA								
CM002236.1-5351	CM002236.1	182572	185784	+	3010.5	3212.000	NA	NA	NA	NA								
CM002238.1-9226	CM002238.1	413999	416855	+	2997.1	2856.000	NA	NA	NA	NA								
CM002237.1-1516	CM002237.1	105576	108594	+	2985.1	3018.000	NA	NA	NA	NA								
CM002241.1-6039	CM002241.1	9210	11343	+	2922.3	2133.000	NA	NA	NA	NA								
CM002241.1-5916	CM002241.1	390168	393118	+	2917.0	2950.000	NA	NA	NA	NA								
CM002238.1-5732	CM002238.1	197785	200730	+	2784.7	2945.000	NA	NA	NA	NA								
CM002238.1-7259	CM002238.1	31111	33547	+	2755.4	2436.000	NA	NA	NA	NA								
CM002241.1-3210	CM002241.1	410809	413683	+	2616.5	2874.000	NA	NA	NA	NA								
CM002240.1-1075	CM002240.1	6386736	6388183	+	2453.5	1447.000	NA	NA	NA	NA								
CM002241.1-4125	CM002241.1	3672570	3674231	+	2442.8	1661.000	NA	NA	NA	NA								
CM002239.1-6365	CM002239.1	696471	698886	+	2442.8	2415.000	NA	NA	NA	NA								
CM002240.1-5587	CM002240.1	575248	577649	+	2346.7	2401.000	NA	NA	NA	NA								
CM002241.1-5498	CM002241.1	358839	361653	+	2328.0	2814.000	NA	NA	NA	NA								
CM002242.1-1782	CM002242.1	305654	307977	+	2317.3	2323.000	NA	NA	NA	NA								
CM002241.1-4636	CM002241.1	202551	206125	+	2293.2	3574.000	NA	NA	NA	NA								
CM002239.1-9184	CM002239.1	635261	638109	+	2233.1	2848.000	NA	NA	NA	NA								
CM002239.1-2344	CM002239.1	277222	279712	+	2213.1	2490.000	NA	NA	NA	NA								
CM002239.1-5695	CM002239.1	673121	675697	+	2199.7	2576.000	NA	NA	NA	NA								
CM002238.1-8541	CM002238.1	343941	345889	+	2181.0	1948.000	NA	NA	NA	NA								
CM002241.1-9170	CM002241.1	186693	189698	+	2111.6	3005.000	NA	NA	NA	NA								
CM002238.1-10834	CM002238.1	556151	558304	+	2088.9	2153.000	NA	NA	NA	NA								
CM002239.1-7408	CM002239.1	67570	69864	+	2083.5	2294.000	NA	NA	NA	NA								
CM002237.1-1965	CM002237.1	1685606	1688375	+	2054.2	2769.000	NA	NA	NA	NA								
CM002241.1-5606	CM002241.1	3815873	3817713	+	1998.1	1840.000	NA	NA	NA	NA								
CM002238.1-8538	CM002238.1	277624	279185	+	1998.1	1561.000	NA	NA	NA	NA								
CM002239.1-8314	CM002239.1	194068	197026	+	1990.1	2958.000	NA	NA	NA	NA								
CM002241.1-4203	CM002241.1	240526	242558	+	1960.7	2032.000	NA	NA	NA	NA								
KI440765.1-218	KI440765.1	88486	90706	+	1940.6	2220.000	NA	NA	NA	NA								
CM002236.1-3400	CM002236.1	9689244	9691278	+	1913.9	2034.000	NA	NA	NA	NA								
CM002238.1-5849	CM002238.1	5129525	5131696	+	1827.1	2171.000	NA	NA	NA	NA								
CM002237.1-1221	CM002237.1	26908	29041	+	1803.1	2133.000	NA	NA	NA	NA								
CM002240.1-3453	CM002240.1	6165065	6167440	+	1781.7	2375.000	NA	NA	NA	NA								
CM002239.1-12923	CM002239.1	5912188	5914176	+	1744.3	1988.000	NA	NA	NA	NA								
CM002238.1-10117	CM002238.1	4927026	4929871	+	1737.6	2845.000	NA	NA	NA	NA								
CM002241.1-6327	CM002241.1	4144544	4146762	+	1694.9	2218.000	NA	NA	NA	NA								
CM002239.1-4667	CM002239.1	654887	656185	+	1634.8	1298.000	NA	NA	NA	NA								
CM002239.1-3840	CM002239.1	27212	28693	+	1600.1	1481.000	NA	NA	NA	NA								
CM002241.1-6233	CM002241.1	4056427	4058063	+	1550.6	1636.000	NA	NA	NA	NA								
CM002238.1-6881	CM002238.1	327198	328810	+	1550.6	1612.000	NA	NA	NA	NA								
CM002239.1-7333	CM002239.1	293384	295187	+	1510.6	1803.000	NA	NA	NA	NA								
CM002239.1-7771	CM002239.1	631320	632749	+	1501.2	1429.000	NA	NA	NA	NA								
CM002239.1-6983	CM002239.1	5085316	5087113	+	1445.1	1797.000	NA	NA	NA	NA								
CM002238.1-5509	CM002238.1	4961157	4962711	+	1435.8	1554.000	NA	NA	NA	NA								
CM002239.1-8497	CM002239.1	5248992	5250780	+	1386.4	1788.000	NA	NA	NA	NA								
CM002242.1-3158	CM002242.1	105648	107361	+	1371.7	1713.000	NA	NA	NA	NA								
CM002238.1-9312	CM002238.1	458726	460485	+	1361.0	1759.000	NA	NA	NA	NA								
CM002241.1-9312	CM002241.1	3540720	3542230	+	1354.3	1510.000	NA	NA	NA	NA								
CM002239.1-10533	CM002239.1	5077925	5079554	+	1334.3	1629.000	NA	NA	NA	NA								
CM002238.1-9654	CM002238.1	4969241	4971232	+	1316.9	1991.000	NA	NA	NA	NA								
CM002241.1-4343	CM002241.1	20368	21529	+	1311.6	1161.000	NA	NA	NA	NA								
KI440765.1-180	KI440765.1	99916	100341	+	1223.4	425.000	NA	NA	NA	NA								
CM002237.1-2262	CM002237.1	147165	148429	+	1116.6	1264.000	NA	NA	NA	NA								
CM002238.1-7804	CM002238.1	5118654	5119877	+	1111.2	1223.000	NA	NA	NA	NA								
CM002236.1-1909	CM002236.1	9691713	9693078	+	1065.8	1365.000	NA	NA	NA	NA								
CM002236.1-2200	CM002236.1	9784520	9785498	+	1064.5	978.000	NA	NA	NA	NA								
CM002239.1-6394	CM002239.1	55407	56504	+	1032.4	1097.000	NA	NA	NA	NA								
CM002242.1-2047	CM002242.1	4216836	4218466	+	1020.4	1630.000	NA	NA	NA	NA								
CM002241.1-3876	CM002241.1	28902	30180	+	1001.7	1278.000	NA	NA	NA	NA								
CM002240.1-3395	CM002240.1	6264614	6265652	+	992.4	1038.000	NA	NA	NA	NA								
CM002238.1-9925	CM002238.1	341478	342987	+	975.0	1509.000	NA	NA	NA	NA								
CM002236.1-3307	CM002236.1	9687267	9688530	+	969.7	1263.000	NA	NA	NA	NA								
CM002238.1-8389	CM002238.1	29713	30628	+	849.4	915.000	NA	NA	NA	NA								
CM002236.1-3241	CM002236.1	18286	19324	+	834.8	1038.000	NA	NA	NA	NA								
CM002241.1-2672	CM002241.1	145013	145732	+	832.1	719.000	NA	NA	NA	NA								
CM002239.1-6606	CM002239.1	5887279	5888234	+	784.0	955.000	NA	NA	NA	NA								
CM002238.1-9381	CM002238.1	160657	161653	+	772.0	996.000	NA	NA	NA	NA								
CM002241.1-6360	CM002241.1	206610	207556	+	768.0	946.000	NA	NA	NA	NA								
CM002241.1-5230	CM002241.1	150038	150877	+	760.0	839.000	NA	NA	NA	NA								
CM002242.1-2229	CM002242.1	1586602	1587571	+	750.6	969.000	NA	NA	NA	NA								
CM002241.1-3546	CM002241.1	4166096	4166853	+	729.2	757.000	NA	NA	NA	NA								
CM002238.1-10001	CM002238.1	5205757	5206860	+	726.6	1103.000	NA	NA	NA	NA								
CM002242.1-2566	CM002242.1	3676599	3677645	+	705.2	1046.000	NA	NA	NA	NA								
CM002241.1-6069	CM002241.1	414416	415162	+	683.8	746.000	NA	NA	NA	NA								
CM002237.1-1906	CM002237.1	564553	565362	+	665.1	809.000	NA	NA	NA	NA								
CM002241.1-6354	CM002241.1	181968	182835	+	653.1	867.000	NA	NA	NA	NA								
CM002236.1-2992	CM002236.1	9696589	9697385	+	651.8	796.000	NA	NA	NA	NA								
CM002238.1-8194	CM002238.1	460940	461832	+	646.4	892.000	NA	NA	NA	NA								
CM002239.1-6651	CM002239.1	517787	518581	+	637.1	794.000	NA	NA	NA	NA								
CM002242.1-2792	CM002242.1	387752	388573	+	617.1	821.000	NA	NA	NA	NA								
CM002238.1-9286	CM002238.1	5145920	5146598	+	611.7	678.000	NA	NA	NA	NA								
CM002240.1-6575	CM002240.1	5969031	5970006	+	589.0	975.000	NA	NA	NA	NA								
CM002241.1-3874	CM002241.1	4208792	4209408	+	585.0	616.000	NA	NA	NA	NA								
CM002238.1-11401	CM002238.1	27565	28419	+	573.0	854.000	NA	NA	NA	NA								
CM002238.1-7495	CM002238.1	4980022	4980800	+	563.6	778.000	NA	NA	NA	NA								
CM002239.1-4307	CM002239.1	5889503	5890022	+	561.0	519.000	NA	NA	NA	NA								
CM002241.1-8756	CM002241.1	356797	357789	+	555.6	992.000	NA	NA	NA	NA								
CM002242.1-6237	CM002242.1	242908	243698	+	548.9	790.000	NA	NA	NA	NA								
CM002238.1-9432	CM002238.1	4598026	4598909	+	536.9	883.000	NA	NA	NA	NA								
CM002236.1-2125	CM002236.1	9701155	9702022	+	535.6	867.000	NA	NA	NA	NA								
CM002239.1-8487	CM002239.1	5087990	5088686	+	534.2	696.000	NA	NA	NA	NA								
CM002239.1-12012	CM002239.1	605753	606368	+	526.2	615.000	NA	NA	NA	NA								
CM002241.1-8553	CM002241.1	421460	422363	+	522.2	903.000	NA	NA	NA	NA								
CM002240.1-3721	CM002240.1	780325	780879	+	510.2	554.000	NA	NA	NA	NA								
CM002236.1-1902	CM002236.1	266853	267446	+	510.2	593.000	NA	NA	NA	NA								
CM002238.1-11828	CM002238.1	5116393	5117041	+	504.9	648.000	NA	NA	NA	NA								
KI440765.1-191	KI440765.1	98266	98569	+	495.5	303.000	NA	NA	NA	NA								
CM002239.1-6871	CM002239.1	620217	620799	+	479.5	582.000	NA	NA	NA	NA								
CM002239.1-13339	CM002239.1	5832973	5833717	+	475.5	744.000	NA	NA	NA	NA								
CM002238.1-9556	CM002238.1	4989799	4990325	+	474.1	526.000	NA	NA	NA	NA								
CM002241.1-6408	CM002241.1	3503847	3504355	+	471.5	508.000	NA	NA	NA	NA								
CM002240.1-4261	CM002240.1	6410234	6410906	+	466.1	672.000	NA	NA	NA	NA								
KI440765.1-251	KI440765.1	99186	99454	+	463.5	268.000	NA	NA	NA	NA								
CM002239.1-7107	CM002239.1	5091586	5092280	+	460.8	694.000	NA	NA	NA	NA								
CM002241.1-5582	CM002241.1	3477605	3478355	+	454.1	750.000	NA	NA	NA	NA								
CM002240.1-4688	CM002240.1	6124882	6125502	+	451.4	620.000	NA	NA	NA	NA								
CM002236.1-2710	CM002236.1	8899574	8900244	+	443.4	670.000	NA	NA	NA	NA								
CM002241.1-5123	CM002241.1	420084	420723	+	424.7	639.000	NA	NA	NA	NA								
CM002239.1-7497	CM002239.1	218789	219528	+	424.7	739.000	NA	NA	NA	NA								
CM002239.1-4491	CM002239.1	5951904	5952210	+	378.0	306.000	NA	NA	NA	NA								
CM002240.1-4701	CM002240.1	556644	557248	+	367.3	604.000	NA	NA	NA	NA								
CM002239.1-7640	CM002239.1	5991171	5991525	+	366.0	354.000	NA	NA	NA	NA								
CM002236.1-1975	CM002236.1	373419	373781	+	364.6	362.000	NA	NA	NA	NA								
CM002239.1-9114	CM002239.1	5156830	5157332	+	347.3	502.000	NA	NA	NA	NA								
CM002238.1-8433	CM002238.1	4965224	4965793	+	332.6	569.000	NA	NA	NA	NA								
CM002239.1-7590	CM002239.1	496044	496505	+	319.2	461.000	NA	NA	NA	NA								
CM002237.1-2517	CM002237.1	1706759	1707291	+	315.2	532.000	NA	NA	NA	NA								
KI440765.1-268	KI440765.1	20238	20742	+	311.2	504.000	NA	NA	NA	NA								
KI440765.1-239	KI440765.1	72591	72952	+	303.2	361.000	NA	NA	NA	NA								
CM002241.1-7737	CM002241.1	3539875	3540290	+	299.2	415.000	NA	NA	NA	NA								
