# HOMER Peaks
# Peak finding parameters:
# tag directory = /scratch/evt82290/Run129/homer/tag/129-37_ChIP_set-7_K27me3_AM_Rep_2
#
# total peaks = 922
# peak size = 150
# peaks found using tags on both strands
# minimum distance between peaks = 530
# fragment length = 150
# genome size = 41233532
# Total tags = 434833.5
# Total tags in peaks = 11013.5
# Approximate IP efficiency = 2.53%
# tags per bp = 0.010284
# expected tags per peak = 1.543
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Individual peaks have been stitched together into variable length regions
# Poisson p-value threshold = 1.000000e-03
# Poisson tag threshold = 8.0
# number of putative peaks = 6323
#
# input tag directory = /scratch/evt82290/Run129/homer/tag/129-47_ChIP_set-7_input
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 17
#
# size of region used for local filtering = 10000
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 0
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks /scratch/evt82290/Run129/homer/tag/129-37_ChIP_set-7_K27me3_AM_Rep_2 -style histone -region -size 150 -minDist 530 -o /scratch/evt82290/Run129/Peaks/129-37_ChIP_set-7_K27me3_AM_Rep_2_peaks.txt -i /scratch/evt82290/Run129/homer/tag/129-47_ChIP_set-7_input
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	region size	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Clonal Fold Change
CM002237.1-128	CM002237.1	3318121	3318451	+	505.9	330.000	10.500000	22.0	4.5	4.89	2.91e-09	0.92
CM002240.1-62	CM002240.1	3851210	3851527	+	505.9	317.000	11.000000	22.0	3.6	6.17	4.22e-11	1.00
CM002241.1-18	CM002241.1	3635027	3635298	+	494.4	271.000	13.500000	21.5	3.4	6.36	1.01e-10	0.97
CM002242.1-121	CM002242.1	815447	815755	+	494.4	308.000	10.000000	21.5	3.7	5.77	5.56e-10	0.93
CM002236.1-438	CM002236.1	4186874	4187219	+	482.9	345.000	9.000000	21.0	3.9	5.37	1.30e-09	0.97
KI440767.1-29	KI440767.1	28830	29240	+	482.9	410.000	9.000000	21.0	3.7	5.74	4.13e-10	0.90
CM002236.1-212	CM002236.1	2328940	2329337	+	471.4	397.000	10.000000	20.5	4.6	4.48	8.88e-08	0.99
CM002240.1-78	CM002240.1	695562	695880	+	471.4	318.000	10.500000	20.5	2.7	7.52	1.59e-11	0.99
CM002240.1-92	CM002240.1	5663976	5664312	+	471.4	336.000	10.500000	20.5	3.7	5.55	2.75e-09	0.97
CM002242.1-127	CM002242.1	1147110	1147476	+	471.4	366.000	10.000000	20.5	3.9	5.26	6.62e-09	0.91
KI440765.1-296	KI440765.1	137054	137535	+	471.4	481.000	8.000000	20.5	3.5	5.87	1.08e-09	0.99
CM002236.1-483	CM002236.1	6437848	6438179	+	459.9	331.000	9.000000	20.0	3.9	5.13	6.62e-09	0.98
CM002240.1-24	CM002240.1	1202516	1202752	+	459.9	236.000	13.500000	20.0	2.3	8.85	5.76e-13	1.28
CM002240.1-45	CM002240.1	5413189	5413467	+	459.9	278.000	11.500000	20.0	4.1	4.83	1.81e-08	0.97
CM002236.1-341	CM002236.1	6441817	6442139	+	448.4	322.000	9.500000	19.5	2.7	7.15	1.18e-10	0.92
CM002238.1-184	CM002238.1	5273195	5273527	+	448.4	332.000	9.500000	19.5	3.0	6.48	5.80e-10	0.98
CM002240.1-519	CM002240.1	4443623	4444028	+	448.4	405.000	8.000000	19.5	3.5	5.54	7.18e-09	0.99
CM002236.1-215	CM002236.1	3617160	3617505	+	436.9	345.000	10.000000	19.0	2.9	6.52	3.48e-10	0.98
CM002236.1-112	CM002236.1	3634149	3634439	+	436.9	290.000	11.000000	19.0	2.6	7.39	4.46e-11	0.92
CM002236.1-726	CM002236.1	9733005	9733329	+	436.9	324.000	8.500000	19.0	3.2	5.86	1.93e-09	1.14
CM002239.1-189	CM002239.1	5319454	5319826	+	436.9	372.000	9.500000	19.0	3.2	5.92	1.65e-09	0.91
CM002241.1-29	CM002241.1	3077053	3077310	+	436.9	257.000	12.500000	19.0	2.2	8.59	3.61e-12	1.02
CM002236.1-213	CM002236.1	2331899	2332232	+	425.5	333.000	10.000000	18.5	3.5	5.32	3.22e-08	0.91
CM002239.1-165	CM002239.1	3073317	3073618	+	425.5	301.000	9.500000	18.5	3.1	5.94	6.34e-09	0.93
CM002239.1-270	CM002239.1	4652788	4653120	+	425.5	332.000	9.000000	18.5	1.9	9.65	3.10e-12	0.92
CM002241.1-347	CM002241.1	388099	388503	+	425.5	404.000	8.000000	18.5	4.2	4.38	5.34e-07	0.99
CM002241.1-140	CM002241.1	1954909	1955229	+	425.5	320.000	9.500000	18.5	2.1	8.93	1.09e-11	1.01
CM002237.1-91	CM002237.1	3602988	3603262	+	414.0	274.000	11.000000	18.0	2.8	6.49	1.07e-09	1.01
CM002237.1-96	CM002237.1	3670821	3671062	+	414.0	241.000	11.000000	18.0	3.8	4.72	1.27e-07	1.01
CM002239.1-30	CM002239.1	2727083	2727333	+	414.0	250.000	11.500000	18.0	3.3	5.45	1.52e-08	0.99
CM002241.1-65	CM002241.1	105305	105547	+	414.0	242.000	10.500000	18.0	3.4	5.35	2.01e-08	0.97
CM002242.1-117	CM002242.1	279478	279759	+	414.0	281.000	10.000000	18.0	3.0	5.96	4.00e-09	0.97
CM002242.1-164	CM002242.1	1165366	1165703	+	414.0	337.000	9.500000	18.0	3.9	4.58	1.90e-07	0.92
KI440765.1-276	KI440765.1	170219	170634	+	414.0	415.000	8.500000	18.0	3.3	5.53	1.23e-08	0.88
CM002239.1-182	CM002239.1	4458200	4458480	+	402.5	280.000	9.500000	17.5	3.6	4.93	2.29e-07	0.93
KI440765.1-251	KI440765.1	45930	46189	+	402.5	259.000	8.500000	17.5	2.4	7.29	8.51e-10	1.04
KI440767.1-67	KI440767.1	121316	121578	+	402.5	262.000	8.500000	17.5	2.9	6.07	1.22e-08	1.25
CM002236.1-141	CM002236.1	9505349	9505570	+	391.0	221.000	11.000000	17.0	3.5	4.83	2.03e-07	1.12
CM002237.1-269	CM002237.1	4476418	4476658	+	391.0	240.000	9.500000	17.0	2.1	8.27	8.54e-11	1.36
CM002238.1-33	CM002238.1	2218043	2218233	+	391.0	190.000	13.500000	17.0	4.1	4.18	1.41e-06	1.07
CM002238.1-44	CM002238.1	2427752	2427902	+	391.0	150.000	12.500000	17.0	4.2	4.06	2.10e-06	1.34
CM002240.1-16	CM002240.1	6738	6888	+	391.0	150.000	16.000000	17.0	3.4	4.98	1.31e-07	1.07
CM002240.1-135	CM002240.1	4456752	4457013	+	391.0	261.000	10.000000	17.0	3.0	5.71	1.93e-08	1.03
CM002240.1-14	CM002240.1	5663115	5663310	+	391.0	195.000	16.500000	17.0	4.2	4.03	2.31e-06	0.92
CM002240.1-94	CM002240.1	5705887	5706083	+	391.0	196.000	10.500000	17.0	3.5	4.87	1.79e-07	0.95
CM002241.1-64	CM002241.1	4015066	4015335	+	391.0	269.000	11.000000	17.0	3.8	4.51	5.14e-07	0.96
KI440765.1-222	KI440765.1	106925	107210	+	391.0	285.000	9.500000	17.0	2.7	6.27	5.07e-09	0.97
CM002236.1-11	CM002236.1	5927685	5927835	+	379.5	150.000	15.000000	16.5	4.0	4.10	5.20e-06	1.01
CM002238.1-203	CM002238.1	375939	376199	+	379.5	260.000	9.000000	16.5	3.3	5.07	3.63e-07	1.25
CM002239.1-172	CM002239.1	3758133	3758369	+	379.5	236.000	9.500000	16.5	2.5	6.66	9.44e-09	0.99
CM002239.1-32	CM002239.1	4236019	4236280	+	379.5	261.000	11.500000	16.5	3.9	4.22	3.70e-06	0.97
CM002239.1-123	CM002239.1	5221709	5221950	+	379.5	241.000	10.000000	16.5	2.2	7.62	1.47e-09	0.97
CM002240.1-15	CM002240.1	6435997	6436145	+	379.5	148.000	16.500000	16.5	3.8	4.36	2.48e-06	0.98
KI440765.1-212	KI440765.1	146207	146459	+	379.5	252.000	10.000000	16.5	2.0	8.34	4.13e-10	0.92
KI440766.1-34	KI440766.1	88373	88618	+	379.5	245.000	9.000000	16.5	2.4	6.79	7.27e-09	0.93
CM002236.1-49	CM002236.1	3487946	3488168	+	368.0	222.000	12.500000	16.0	3.4	4.67	7.03e-07	0.97
CM002236.1-186	CM002236.1	8256728	8256941	+	368.0	213.000	10.500000	16.0	2.5	6.34	1.22e-08	0.97
CM002238.1-195	CM002238.1	181012	181262	+	368.0	250.000	9.000000	16.0	2.6	6.15	1.84e-08	1.04
CM002238.1-15	CM002238.1	1733083	1733233	+	368.0	150.000	17.000000	16.0	3.9	4.14	3.19e-06	0.95
CM002239.1-298	CM002239.1	131101	131363	+	368.0	262.000	8.500000	16.0	2.9	5.49	8.42e-08	1.12
CM002239.1-111	CM002239.1	4060537	4060768	+	368.0	231.000	10.000000	16.0	2.6	6.08	2.17e-08	0.93
CM002240.1-207	CM002240.1	255187	255432	+	368.0	245.000	9.000000	16.0	3.2	4.99	3.01e-07	1.20
CM002240.1-126	CM002240.1	2811653	2811891	+	368.0	238.000	10.000000	16.0	2.8	5.67	5.45e-08	1.33
CM002242.1-137	CM002242.1	2488116	2488353	+	368.0	237.000	10.000000	16.0	2.1	7.72	7.91e-10	0.96
CM002242.1-510	CM002242.1	4248526	4248799	+	368.0	273.000	8.000000	16.0	2.8	5.67	5.45e-08	0.97
KI440769.1-17	KI440769.1	492	775	+	368.0	283.000	8.500000	16.0	2.9	5.43	9.70e-08	0.98
CM002238.1-64	CM002238.1	698821	699052	+	356.5	231.000	11.000000	15.5	2.8	5.53	2.92e-07	1.01
CM002238.1-23	CM002238.1	2185902	2186091	+	356.5	189.000	14.500000	15.5	2.3	6.68	2.69e-08	0.93
CM002239.1-175	CM002239.1	4036460	4036696	+	356.5	236.000	9.500000	15.5	2.3	6.63	2.93e-08	1.05
CM002239.1-53	CM002239.1	4769671	4769914	+	356.5	243.000	11.000000	15.5	3.5	4.46	3.91e-06	1.12
CM002239.1-39	CM002239.1	5936855	5937097	+	356.5	242.000	11.500000	15.5	2.8	5.47	3.35e-07	0.93
CM002241.1-95	CM002241.1	1811880	1812117	+	356.5	237.000	10.000000	15.5	2.4	6.55	3.47e-08	1.02
CM002242.1-494	CM002242.1	3421860	3422099	+	356.5	239.000	8.000000	15.5	2.5	6.26	6.16e-08	1.32
KI440769.1-3	KI440769.1	8184	8377	+	356.5	193.000	10.500000	15.5	1.9	8.36	1.42e-09	0.97
CM002236.1-25	CM002236.1	873167	873356	+	345.0	189.000	13.500000	15.0	1.7	9.00	3.44e-10	1.04
CM002236.1-444	CM002236.1	4376640	4376884	+	345.0	244.000	9.000000	15.0	2.4	6.21	4.45e-08	1.25
CM002236.1-938	CM002236.1	6300730	6300962	+	345.0	232.000	8.000000	15.0	2.7	5.47	2.21e-07	0.92
CM002236.1-68	CM002236.1	6315811	6315961	+	345.0	150.000	12.000000	15.0	1.4	11.07	2.06e-11	1.19
CM002238.1-112	CM002238.1	910330	910567	+	345.0	237.000	10.000000	15.0	2.6	5.70	1.33e-07	1.02
CM002238.1-37	CM002238.1	2425830	2426021	+	345.0	191.000	13.000000	15.0	2.6	5.87	9.12e-08	0.96
CM002239.1-63	CM002239.1	2023018	2023245	+	345.0	227.000	10.500000	15.0	2.4	6.33	3.47e-08	1.09
CM002241.1-202	CM002241.1	1954060	1954311	+	345.0	251.000	9.000000	15.0	1.7	9.00	3.44e-10	0.98
CM002241.1-224	CM002241.1	3417250	3417530	+	345.0	280.000	9.000000	15.0	2.6	5.83	9.84e-08	1.14
KI440766.1-26	KI440766.1	16286	16530	+	345.0	244.000	9.000000	15.0	1.9	7.96	1.77e-09	1.12
KI440767.1-15	KI440767.1	68498	68727	+	345.0	229.000	10.000000	15.0	2.9	5.09	5.34e-07	1.21
KI440769.1-2	KI440769.1	11841	12035	+	345.0	194.000	11.500000	15.0	1.8	8.37	9.03e-10	1.17
KI440771.1-6	KI440771.1	10666	10887	+	345.0	221.000	10.000000	15.0	3.2	4.65	1.61e-06	0.98
CM002236.1-45	CM002236.1	876441	876629	+	333.5	188.000	12.500000	14.5	1.9	7.82	1.16e-08	1.01
CM002236.1-372	CM002236.1	908849	909078	+	333.5	229.000	9.000000	14.5	2.5	5.82	4.06e-07	1.01
CM002236.1-279	CM002236.1	2280024	2280235	+	333.5	211.000	9.500000	14.5	3.1	4.75	4.15e-06	0.92
CM002236.1-157	CM002236.1	3623418	3623620	+	333.5	202.000	10.500000	14.5	1.9	7.51	1.92e-08	1.21
CM002236.1-574	CM002236.1	3643533	3643785	+	333.5	252.000	8.500000	14.5	2.2	6.60	9.09e-08	0.97
CM002236.1-23	CM002236.1	3727918	3728115	+	333.5	197.000	14.000000	14.5	2.5	5.85	3.77e-07	0.96
CM002236.1-250	CM002236.1	8992585	8992808	+	333.5	223.000	10.000000	14.5	3.5	4.10	2.08e-05	1.10
CM002237.1-27	CM002237.1	3320855	3321005	+	333.5	150.000	14.000000	14.5	2.3	6.33	1.49e-07	0.99
CM002237.1-436	CM002237.1	3638189	3638442	+	333.5	253.000	8.500000	14.5	2.6	5.67	5.42e-07	0.97
CM002238.1-25	CM002238.1	2229183	2229371	+	333.5	188.000	14.000000	14.5	2.2	6.51	1.08e-07	0.96
CM002239.1-368	CM002239.1	3759216	3759451	+	333.5	235.000	8.500000	14.5	2.2	6.70	7.66e-08	1.04
CM002239.1-73	CM002239.1	4034846	4035078	+	333.5	232.000	10.500000	14.5	3.1	4.65	5.20e-06	0.97
CM002240.1-165	CM002240.1	1165126	1165334	+	333.5	208.000	9.500000	14.5	3.4	4.31	1.22e-05	1.25
CM002240.1-30	CM002240.1	4237769	4237963	+	333.5	194.000	12.500000	14.5	1.8	7.95	9.43e-09	1.05
CM002240.1-70	CM002240.1	5908323	5908513	+	333.5	190.000	11.000000	14.5	2.6	5.67	5.42e-07	0.97
CM002241.1-90	CM002241.1	1073267	1073494	+	333.5	227.000	10.000000	14.5	3.1	4.65	5.20e-06	0.97
CM002241.1-332	CM002241.1	4208795	4209032	+	333.5	237.000	8.500000	14.5	2.3	6.20	1.90e-07	0.92
CM002242.1-238	CM002242.1	2094891	2095103	+	333.5	212.000	9.000000	14.5	1.9	7.51	1.92e-08	1.10
CM002242.1-75	CM002242.1	2209903	2210129	+	333.5	226.000	11.000000	14.5	2.5	5.85	3.77e-07	0.97
KI440765.1-186	KI440765.1	187352	187539	+	333.5	187.000	13.000000	14.5	2.1	6.95	4.93e-08	0.97
KI440772.1-1	KI440772.1	5485	5678	+	333.5	193.000	11.500000	14.5	3.2	4.56	6.48e-06	1.14
KI440776.1-1	KI440776.1	1525	1725	+	333.5	200.000	12.500000	14.5	2.3	6.33	1.49e-07	0.93
CM002236.1-80	CM002236.1	3683339	3683532	+	322.0	193.000	11.500000	14.0	2.0	7.02	2.83e-08	0.92
CM002237.1-25	CM002237.1	257	407	+	322.0	150.000	14.000000	14.0	3.3	4.24	9.91e-06	0.96
CM002237.1-97	CM002237.1	3678900	3679050	+	322.0	150.000	11.000000	14.0	1.9	7.37	1.58e-08	1.22
CM002237.1-469	CM002237.1	3705051	3705238	+	322.0	187.000	8.500000	14.0	1.6	8.64	2.19e-09	1.08
CM002238.1-187	CM002238.1	67361	67604	+	322.0	243.000	9.000000	14.0	2.4	5.87	2.40e-07	1.04
CM002238.1-34	CM002238.1	2424178	2424328	+	322.0	150.000	13.500000	14.0	1.9	7.25	1.92e-08	0.99
CM002239.1-104	CM002239.1	3079852	3080085	+	322.0	233.000	10.000000	14.0	2.5	5.55	4.70e-07	1.14
CM002240.1-150	CM002240.1	256136	256383	+	322.0	247.000	9.500000	14.0	2.5	5.58	4.37e-07	0.91
CM002240.1-41	CM002240.1	975265	975458	+	322.0	193.000	11.500000	14.0	2.5	5.51	5.04e-07	1.06
CM002240.1-44	CM002240.1	4466023	4466217	+	322.0	194.000	11.500000	14.0	1.5	9.08	1.18e-09	1.10
CM002241.1-207	CM002241.1	2789160	2789396	+	322.0	236.000	9.000000	14.0	2.1	6.61	5.89e-08	1.06
CM002241.1-14	CM002241.1	3638008	3638158	+	322.0	150.000	14.000000	14.0	3.4	4.08	1.48e-05	1.03
CM002242.1-35	CM002242.1	2096148	2096348	+	322.0	200.000	12.000000	14.0	2.4	5.76	3.02e-07	1.10
CM002242.1-247	CM002242.1	2334180	2334330	+	322.0	150.000	9.000000	14.0	2.5	5.58	4.37e-07	1.49
KI440767.1-7	KI440767.1	3923	4146	+	322.0	223.000	10.500000	14.0	2.4	5.72	3.25e-07	0.91
KI440767.1-52	KI440767.1	70885	71118	+	322.0	233.000	8.500000	14.0	2.9	4.83	2.30e-06	0.96
KI440767.1-21	KI440767.1	107436	107676	+	322.0	240.000	10.000000	14.0	2.5	5.62	4.06e-07	1.01
KI440767.1-22	KI440767.1	119336	119576	+	322.0	240.000	10.000000	14.0	2.3	6.11	1.49e-07	0.91
CM002236.1-278	CM002236.1	1347743	1347942	+	310.5	199.000	9.500000	13.5	2.2	6.23	5.01e-07	0.92
CM002236.1-41	CM002236.1	5926367	5926563	+	310.5	196.000	13.000000	13.5	3.1	4.42	1.94e-05	0.97
CM002236.1-67	CM002236.1	6250224	6250416	+	310.5	192.000	12.000000	13.5	1.8	7.60	5.44e-08	0.96
CM002237.1-81	CM002237.1	3683031	3683218	+	310.5	187.000	11.500000	13.5	2.4	5.70	1.33e-06	1.09
CM002238.1-26	CM002238.1	132	282	+	310.5	150.000	13.500000	13.5	3.3	4.13	3.89e-05	0.93
CM002238.1-362	CM002238.1	304054	304296	+	310.5	242.000	8.000000	13.5	1.7	8.17	2.37e-08	0.92
CM002238.1-49	CM002238.1	5214105	5214255	+	310.5	150.000	12.000000	13.5	3.2	4.17	3.54e-05	1.04
CM002239.1-59	CM002239.1	373173	373382	+	310.5	209.000	10.500000	13.5	2.2	6.02	7.39e-07	0.91
CM002239.1-14	CM002239.1	2027639	2027829	+	310.5	190.000	12.000000	13.5	2.0	6.67	2.39e-07	1.06
CM002240.1-172	CM002240.1	1430593	1430824	+	310.5	231.000	9.500000	13.5	2.3	5.98	7.97e-07	0.97
CM002240.1-25	CM002240.1	3912784	3912934	+	310.5	150.000	13.500000	13.5	3.1	4.33	2.38e-05	0.93
CM002240.1-66	CM002240.1	4451418	4451607	+	310.5	189.000	11.000000	13.5	1.9	7.22	9.73e-08	0.92
CM002241.1-73	CM002241.1	1188238	1188431	+	310.5	193.000	10.500000	13.5	2.0	6.72	2.19e-07	1.08
CM002241.1-191	CM002241.1	1774011	1774204	+	310.5	193.000	9.000000	13.5	2.3	5.93	8.59e-07	1.02
CM002241.1-104	CM002241.1	2876556	2876785	+	310.5	229.000	10.000000	13.5	2.3	5.85	9.96e-07	0.98
CM002242.1-86	CM002242.1	260374	260568	+	310.5	194.000	10.500000	13.5	2.4	5.55	1.76e-06	1.02
CM002242.1-133	CM002242.1	2172979	2173175	+	310.5	196.000	10.000000	13.5	2.1	6.37	3.94e-07	1.08
CM002236.1-114	CM002236.1	3717730	3717921	+	299.0	191.000	11.000000	13.0	1.9	6.90	1.07e-07	1.02
CM002236.1-311	CM002236.1	4538966	4539174	+	299.0	208.000	9.500000	13.0	2.5	5.18	2.47e-06	1.03
CM002236.1-90	CM002236.1	6525317	6525508	+	299.0	191.000	11.500000	13.0	1.6	8.18	1.52e-08	1.01
CM002236.1-261	CM002236.1	9791123	9791312	+	299.0	189.000	10.000000	13.0	1.9	6.73	1.41e-07	0.92
CM002237.1-275	CM002237.1	139463	139699	+	299.0	236.000	9.000000	13.0	2.4	5.38	1.64e-06	0.98
CM002237.1-26	CM002237.1	3305012	3305162	+	299.0	150.000	14.000000	13.0	3.0	4.28	1.84e-05	1.00
CM002237.1-345	CM002237.1	3900102	3900303	+	299.0	201.000	9.000000	13.0	2.1	6.23	3.34e-07	1.29
CM002237.1-268	CM002237.1	4471310	4471498	+	299.0	188.000	9.500000	13.0	2.2	6.05	4.63e-07	1.25
CM002238.1-363	CM002238.1	319440	319669	+	299.0	229.000	8.000000	13.0	1.7	7.45	4.45e-08	0.97
CM002238.1-266	CM002238.1	322379	322619	+	299.0	240.000	8.500000	13.0	2.4	5.45	1.43e-06	0.98
CM002238.1-56	CM002238.1	1737229	1737416	+	299.0	187.000	11.500000	13.0	2.7	4.82	5.30e-06	1.01
CM002238.1-100	CM002238.1	4080155	4080367	+	299.0	212.000	10.500000	13.0	1.8	7.38	4.92e-08	0.97
