# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "2" "-p" "-t" "CDS" "-g" "gene_name" "-s" "0" "--primary" "-a" "/home/zlewis/Genomes/Neurospora/Nc12_RefSeq/GCA_000182925.2_NC12_genomic_GFFtoGTFconversion.gtf" "-o" "/scratch/evt82290/RNAseq/qa-suz12/counts/readcounts_newseq.txt" "/scratch/evt82290/RNAseq/qa-suz12/bamFiles/SRR9027658/SRR9027658_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/RNAseq/qa-suz12/bamFiles/SRR9027689/SRR9027689_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/RNAseq/qa-suz12/bamFiles/SRR9027759/SRR9027759_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269825/SRR8269825_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269775/SRR8269775_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269782/SRR8269782_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269810/SRR8269810_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-89_RNA_WT_24hrqa__Rep3_S89/149-89_RNA_WT_24hrqa__Rep3_S89_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-88_RNA_WT_24hrqa__Rep2_S88/149-88_RNA_WT_24hrqa__Rep2_S88_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-84_RNA_WT__Rep1_S84/149-84_RNA_WT__Rep1_S84_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-85_RNA_WT__Rep2_S85/149-85_RNA_WT__Rep2_S85_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-86_RNA_WT__Rep3_S86/149-86_RNA_WT__Rep3_S86_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-87_RNA_WT_24hrqa__Rep1_S87/149-87_RNA_WT_24hrqa__Rep1_S87_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-90_RNA_qa-suz12__Rep1_S90/149-90_RNA_qa-suz12__Rep1_S90_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-91_RNA_qa-suz12__Rep2_S91/149-91_RNA_qa-suz12__Rep2_S91_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-92_RNA_qa-suz12__Rep3_S92/149-92_RNA_qa-suz12__Rep3_S92_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-93_RNA_qa-suz12_24hrqa__Rep1_S93/149-93_RNA_qa-suz12_24hrqa__Rep1_S93_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-94_RNA_qa-suz12_24hrqa__Rep2_S94/149-94_RNA_qa-suz12_24hrqa__Rep2_S94_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-95_RNA_qa-suz12_24hrqa__Rep3_S95/149-95_RNA_qa-suz12_24hrqa__Rep3_S95_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/evt82290/RNAseq/qa-suz12/bamFiles/SRR9027658/SRR9027658_Aligned.sortedByCoord.out.bam	/scratch/evt82290/RNAseq/qa-suz12/bamFiles/SRR9027689/SRR9027689_Aligned.sortedByCoord.out.bam	/scratch/evt82290/RNAseq/qa-suz12/bamFiles/SRR9027759/SRR9027759_Aligned.sortedByCoord.out.bam	/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269825/SRR8269825_Aligned.sortedByCoord.out.bam	/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269775/SRR8269775_Aligned.sortedByCoord.out.bam	/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269782/SRR8269782_Aligned.sortedByCoord.out.bam	/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269810/SRR8269810_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-89_RNA_WT_24hrqa__Rep3_S89/149-89_RNA_WT_24hrqa__Rep3_S89_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-88_RNA_WT_24hrqa__Rep2_S88/149-88_RNA_WT_24hrqa__Rep2_S88_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-84_RNA_WT__Rep1_S84/149-84_RNA_WT__Rep1_S84_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-85_RNA_WT__Rep2_S85/149-85_RNA_WT__Rep2_S85_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-86_RNA_WT__Rep3_S86/149-86_RNA_WT__Rep3_S86_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-87_RNA_WT_24hrqa__Rep1_S87/149-87_RNA_WT_24hrqa__Rep1_S87_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-90_RNA_qa-suz12__Rep1_S90/149-90_RNA_qa-suz12__Rep1_S90_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-91_RNA_qa-suz12__Rep2_S91/149-91_RNA_qa-suz12__Rep2_S91_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-92_RNA_qa-suz12__Rep3_S92/149-92_RNA_qa-suz12__Rep3_S92_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-93_RNA_qa-suz12_24hrqa__Rep1_S93/149-93_RNA_qa-suz12_24hrqa__Rep1_S93_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-94_RNA_qa-suz12_24hrqa__Rep2_S94/149-94_RNA_qa-suz12_24hrqa__Rep2_S94_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-95_RNA_qa-suz12_24hrqa__Rep3_S95/149-95_RNA_qa-suz12_24hrqa__Rep3_S95_Aligned.sortedByCoord.out.bam
NCU08072	CM002236.1	175502	177526	-	2025	3009	2475	2089	6873	8150	8239	7122	1617	795	1617	865	479	1457	414	1076	170	68	48	2130
NCU08073	CM002236.1	178614	180167	-	1554	36	39	12	55	81	47	58	26	2	24	41	19	58	24	44	8	0	1	8
NCU08074	CM002236.1	181223	181975	+	753	5	2	2	6	4	2	7	0	0	0	2	2	6	4	10	7	0	0	4
NCU08075	CM002236.1;CM002236.1;CM002236.1;CM002236.1	182428;184075;184564;184796	183921;184498;184735;185051	-;-;-;-	2346	0	8	8	8	4	8	4	0	0	0	18	0	9	6	8	2	0	1	0
NCU08076	CM002236.1	186244	187929	+	1686	1131	1120	654	1540	2151	2078	1583	125	111	192	50	22	28	18	87	6	8	2	274
NCU08077	CM002236.1	188531	189595	-	1065	12	14	6	2	0	4	13	2	0	10	2	0	2	0	7	2	0	0	0
NCU08078	CM002236.1;CM002236.1	190407;190588	190506;191138	+;+	651	2	2	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0
NCU08079	CM002236.1;CM002236.1	193413;193803	193627;194004	-;-	417	3	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	2	4
NCU08080	CM002236.1	195021	195335	-	315	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0
NCU16305	CM002236.1	195781	196290	-	510	1	0	0	0	2	0	0	0	0	2	0	0	0	2	0	0	0	0	2
NCU08081	CM002236.1	198195	198497	+	303	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0
NCU08083	CM002236.1	208756	209217	-	462	0	7	0	0	0	0	0	1	0	0	2	0	2	2	6	2	0	0	0
NCU08084	CM002236.1;CM002236.1;CM002236.1;CM002236.1	210487;210925;211717;212108	210805;210945;212052;212487	+;+;+;+	1056	72	56	56	2	4	4	4	8	0	10	2	0	4	10	37	5	0	1	8
NCU08085	CM002236.1;CM002236.1;CM002236.1	214620;214824;215038	214770;214971;215734	+;+;+	996	97	99	65	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
NCU08086	CM002236.1	216105	216521	-	417	11	23	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU08087	CM002236.1;CM002236.1	219849;220759	220697;220845	-;-	936	0	2	0	0	0	6	0	42	26	56	4	0	14	2	4	0	0	0	13
NCU08089	CM002236.1	224662	224874	+	213	21	33	24	19	31	38	18	13	5	12	5	4	7	0	8	0	0	0	6
NCU16306	CM002236.1	227270	227641	-	372	861	1053	1080	3110	3971	3963	3084	781	598	849	207	85	473	91	317	26	35	14	1138
NCU08090	CM002236.1	228253	228621	-	369	809	613	438	1646	1836	1839	1706	637	315	630	116	82	318	32	241	0	0	0	341
NCU10622	CM002236.1;CM002236.1	231816;232512	232411;232581	-;-	666	121	125	88	434	540	523	443	230	70	261	100	62	221	74	238	0	2	0	239
NCU08091	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	233191;233304;233373;233623;233623;234407	233256;233558;233558;234489;234247;234489	+;+;+;+;+;+	1188	1463	1373	841	3155	3883	3832	3176	1218	338	1127	2468	1058	4265	474	2657	24	2	8	1039
NCU08092	CM002236.1;CM002236.1;CM002236.1	234958;235569;235978	235448;235880;236170	-;-;-	996	16527	11682	11142	35834	44960	45145	34998	21435	7262	17555	8302	4940	17228	3778	12064	325	220	82	19065
NCU08093	CM002236.1;CM002236.1;CM002236.1;CM002236.1	237749;237865;238034;238147	237797;237894;238084;238208	+;+;+;+	192	9535	14691	8995	31644	38354	37812	31639	4669	2756	4942	2221	1117	2982	1381	3986	291	96	63	7485
NCU08094	CM002236.1;CM002236.1	239188;239749	239506;240626	+;+	1197	3870	3570	3387	5935	7849	7909	5940	1938	638	2001	4056	2000	5574	1905	7075	104	19	0	1246
NCU08095	CM002236.1;CM002236.1	240862;241536	241330;241804	-;-	738	10709	5669	6861	6730	9001	9284	6735	5334	2048	3100	3805	3527	6922	1914	7331	223	180	147	8216
NCU08096	CM002236.1;CM002236.1	243324;244178	243346;246248	-;-	2094	139	64	89	117	133	106	102	15	0	11	48	21	27	28	131	11	6	7	46
NCU16307	CM002236.1;CM002236.1	246887;247422	247378;247478	-;-	549	27	13	6	10	20	27	15	2	0	2	6	0	9	4	14	2	0	0	5
NCU08097	CM002236.1;CM002236.1;CM002236.1	249306;250847;251518	250790;251445;251944	-;-;-	2511	242	175	91	224	272	267	223	40	8	40	30	12	14	12	132	18	2	2	76
NCU08098	CM002236.1	253827	254195	+	369	124	77	47	142	142	121	118	8	2	18	26	6	3	16	43	5	2	0	22
NCU08099	CM002236.1	255090	255638	-	549	316	460	182	566	719	746	557	64	48	55	21	19	30	17	54	6	8	8	174
NCU08100	CM002236.1	256166	256627	+	462	190	500	174	311	374	387	284	85	48	57	26	20	22	38	81	0	4	4	361
NCU08101	CM002236.1	257493	259361	+	1869	2	8	0	4	0	4	2	2	0	0	0	0	0	0	2	0	0	2	8
NCU08102	CM002236.1	262020	263387	-	1368	4	0	4	0	0	0	0	4	0	2	6	0	0	0	6	0	0	0	2
NCU08103	CM002236.1	264036	265388	-	1353	2	4	4	0	0	1	0	4	2	7	0	4	0	0	0	0	0	0	0
NCU08105	CM002236.1;CM002236.1	291633;292700	292267;292877	+;+	813	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	2
NCU08106	CM002236.1	293167	294573	+	1407	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU08107	CM002236.1	296499	297770	-	1272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
NCU08109	CM002236.1	302353	303729	+	1377	6	0	0	0	0	0	0	8	6	0	0	0	0	0	2	0	2	0	6
NCU08110	CM002236.1;CM002236.1	305703;306102	305993;308126	-;-	2316	2713	2369	2081	7003	8511	8136	7049	1049	427	1089	626	275	580	230	722	112	76	56	1044
NCU08111	CM002236.1;CM002236.1	309019;310330	310273;310364	+;+	1290	1041	1060	846	2414	2759	2814	2153	216	104	281	165	99	165	58	289	10	6	0	202
NCU08112	CM002236.1;CM002236.1;CM002236.1;CM002236.1	311541;312429;312557;313267	312376;312492;313126;313407	+;+;+;+	1611	475	649	391	1191	1416	1420	1080	108	46	175	224	86	135	90	312	21	16	3	220
NCU08113	CM002236.1;CM002236.1	314022;314779	314273;315177	+;+	651	55	63	49	99	106	121	110	32	12	65	136	60	76	48	265	24	2	8	64
cdt-2	CM002236.1;CM002236.1;CM002236.1;CM002236.1	319261;319505;320676;320860	319440;320606;320801;321029	-;-;-;-	1578	77	67	57	155	153	146	148	3806	1539	3289	18	4	77	0	25	2	65	45	2993
msh3	CM002236.1	325063	328500	+	3438	390	404	290	1219	1724	1741	1338	39	36	28	30	6	28	32	56	16	15	8	128
NCU08116	CM002236.1	328658	330088	-	1431	0	0	2	8	0	15	14	0	0	2	8	0	4	0	2	2	3	0	0
NCU08117	CM002236.1;CM002236.1;CM002236.1	332263;333091;334398	332937;334260;334580	-;-;-	2028	520	451	297	670	807	753	637	56	38	50	266	50	138	74	453	4	1	1	50
