# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "6" "-p" "-a" "/scratch/evt82290/histone_chaperone_plot_FINAL/NC12_annotation.gtf" "-o" "/scratch/evt82290/histone_chaperone_plot_FINAL/readcounts_FINAL.txt" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8444037.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8444038.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8444043.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970629.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970630.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970631.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970598.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970599.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970600.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269830.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269647.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269650.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916318.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916319.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916320.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970603.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970606.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970610.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR9027727.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR9027728.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR9027730.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269825.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269775.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269782.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269810.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916163.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916164.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916165.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8444037.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8444038.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8444043.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970629.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970630.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970631.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970598.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970599.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970600.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269830.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269647.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269650.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916318.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916319.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916320.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970603.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970606.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970610.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR9027727.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR9027728.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR9027730.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269825.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269775.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269782.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269810.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916163.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916164.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916165.sorted.bam
NCU08054	CM002236.1;CM002236.1	113613;114049	113942;117165	+;+	3447	2501	1885	2238	2274	2314	2249	3470	2292	551	1923	1831	86	73	830	765	3626	4413	191	746	3089	2198	417	4052	3972	4042	1214	1227	70
NCU08055	CM002236.1	117750	119387	+	1638	12399	8625	13828	9315	9942	9171	9847	6445	1461	9056	10255	563	928	6861	5398	21105	29187	1194	4019	17520	10686	4504	43746	44967	45400	7242	9489	663
NCU08056	CM002236.1;CM002236.1	122928;127928	127863;128314	+;+	5323	547	578	463	832	734	681	856	651	113	211	244	4	22	147	116	760	944	39	87	428	361	65	525	462	470	323	267	23
NCU08057	CM002236.1;CM002236.1	128668;129025	128949;129912	+;+	1170	726	380	545	1202	1130	959	4635	2894	696	417	368	15	17	95	124	1682	1892	103	726	2982	1822	180	1838	1707	1685	419	326	12
NCU08058	CM002236.1;CM002236.1	130428;131787	131718;132364	-;-	1869	76	147	80	137	130	119	101	82	10	65	54	1	0	62	33	57	50	6	22	69	64	6	42	47	48	66	40	2
NCU08059	CM002236.1;CM002236.1;CM002236.1;CM002236.1	133836;134021;134222;134388	133961;134042;134290;134464	+;+;+;+	294	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2	0	0	0
NCU08060	CM002236.1;CM002236.1;CM002236.1	134927;136577;136795	136505;136737;137208	-;-;-	2154	169	179	153	154	140	137	128	97	16	32	55	2	6	53	47	159	165	8	38	139	129	12	178	202	157	118	152	12
NCU08062	CM002236.1;CM002236.1	137593;138191	138135;139980	+;+	2333	145	169	167	119	126	114	136	140	17	56	41	0	10	81	83	147	216	13	35	96	78	17	199	252	232	142	124	4
NCU08063	CM002236.1;CM002236.1;CM002236.1;CM002236.1	139966;141471;141779;142951	141404;141714;142860;143960	-;-;-;-	3775	1319	1170	1302	1237	1070	1214	1585	1271	207	943	999	80	32	509	440	1354	1520	60	226	936	896	193	1773	1902	1839	537	491	30
NCU08064	CM002236.1	144649	149497	-	4849	2479	1686	2508	2281	2249	2367	4314	2993	655	2207	2157	98	70	452	605	3696	4205	214	819	2889	2457	326	3791	3798	3471	730	756	36
NCU08065	CM002236.1;CM002236.1	149511;151488	151410;152241	-;-	2654	523	577	521	466	592	489	815	590	92	294	275	16	26	219	222	524	645	34	101	626	493	60	600	449	540	227	234	6
NCU08066	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	152421;153532;153745;154387;154536	153481;153691;154328;154466;155040	-;-;-;-;-	2390	4883	4785	4182	4387	4814	4107	6444	4564	1044	2233	2230	95	207	2756	2101	4505	4372	274	901	4292	3594	453	3996	4053	4258	3148	2558	118
NCU10696	CM002236.1;CM002236.1	155599;156082	156011;157284	+;+	1616	471	486	443	440	446	474	986	671	162	226	286	9	18	242	243	399	541	15	85	405	354	85	656	705	596	320	255	20
NCU08067	CM002236.1;CM002236.1;CM002236.1	158037;159507;159877	159428;159815;161116	+;+;+	2941	3639	3954	3640	3321	3426	3475	4147	2682	648	2912	3011	114	126	1582	1700	3153	3627	196	661	2789	2403	401	4096	4140	4253	1961	1791	123
NCU08068	CM002236.1	162307	163765	+	1459	253	357	322	279	263	346	388	287	71	156	202	10	12	96	102	292	305	37	65	282	215	31	538	519	524	115	118	4
NCU08069	CM002236.1;CM002236.1	163963;164155	164007;166034	+;+	1925	193	332	214	134	149	113	176	160	33	213	163	12	4	77	68	123	180	8	40	233	142	12	252	224	288	132	62	4
NCU08070	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	169835;171442;171729;172246;172415;172560;172853	171365;171670;171825;172340;172480;172668;173197	-;-;-;-;-;-;-	2472	4851	3813	4976	4018	4115	4438	4137	2972	651	4749	4741	211	308	3550	3102	5320	6543	334	1169	4741	3427	895	7970	7720	8488	3343	3489	243
NCU08071	CM002236.1;CM002236.1;CM002236.1	173482;173775;174055	173701;173955;174938	+;+;+	1285	1779	1958	1720	2028	1949	1771	4483	2933	636	700	755	27	97	1288	1107	1538	1761	71	290	1778	1309	256	2351	2448	2410	1013	1133	50
NCU15001	CM002236.1	175041	175128	-	88	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU08072	CM002236.1	175275	178146	-	2872	3488	2923	3275	2851	3274	2922	5338	3726	814	1935	1902	92	90	1779	1309	3042	3618	228	753	3448	2872	434	3685	3835	3964	1557	1268	82
NCU08073	CM002236.1	178614	180242	-	1629	76	87	48	98	85	77	276	147	26	25	15	0	0	10	10	13	31	0	7	33	22	0	26	18	24	10	11	0
NCU08074	CM002236.1	181223	181975	+	753	13	16	10	19	8	13	29	31	10	0	4	1	0	4	0	0	6	0	2	0	3	0	2	0	5	0	0	0
NCU08075	CM002236.1;CM002236.1;CM002236.1;CM002236.1	182428;184075;184564;184796	183921;184498;184735;185051	-;-;-;-	2346	13	11	6	14	6	14	22	4	2	6	8	0	0	2	0	0	0	0	4	2	6	0	2	6	4	13	0	0
NCU08076	CM002236.1	186040	188208	+	2169	369	266	388	459	535	466	461	257	81	91	84	4	12	119	135	772	1086	43	173	591	440	73	851	862	866	420	341	18
NCU08077	CM002236.1	188531	189595	-	1065	37	194	56	39	43	52	90	73	5	2	4	0	0	0	2	2	5	0	0	0	2	0	0	2	7	6	3	0
NCU08078	CM002236.1;CM002236.1	190407;190588	190506;191138	+;+	651	30	84	15	20	47	35	87	123	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
NCU08079	CM002236.1;CM002236.1	193144;193803	193627;194064	-;-	746	2	2	3	4	15	0	3	3	0	1	0	0	0	0	0	0	2	0	0	4	0	0	4	0	0	6	3	0
NCU08080	CM002236.1	195021	195335	-	315	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
NCU16305	CM002236.1	195781	196290	-	510	0	5	1	0	2	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0
NCU08081	CM002236.1	198195	198497	+	303	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU08083	CM002236.1	208395	209343	-	949	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
NCU08084	CM002236.1;CM002236.1;CM002236.1;CM002236.1	210487;210925;211717;212108	210805;210945;212052;212487	+;+;+;+	1056	29	15	9	29	19	13	2	6	0	0	2	0	0	0	2	3	1	0	0	0	0	0	2	0	2	25	46	3
NCU08085	CM002236.1;CM002236.1;CM002236.1	214620;214824;215038	214770;214971;215734	+;+;+	996	60	126	40	73	69	67	127	100	24	0	0	0	0	4	0	0	0	0	2	0	2	0	0	0	0	35	65	2
NCU08086	CM002236.1	216105	216521	-	417	17	10	1	10	9	7	17	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	9	15	4
NCU08087	CM002236.1;CM002236.1	219396;220759	220697;220979	-;-	1523	30	36	6	19	31	41	20	15	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	2	0	6	0	0
NCU08089	CM002236.1	224662	224874	+	213	20	38	18	46	53	31	9	10	1	13	20	0	0	22	23	15	18	3	8	19	7	1	11	10	7	17	14	1
NCU16306	CM002236.1	226935	227879	-	945	1555	2155	1817	1380	1621	1551	1145	780	165	1381	1834	85	42	1214	1208	1245	1316	102	318	2227	1172	161	1835	1882	1713	1181	1308	83
NCU08090	CM002236.1	227818	228981	-	1164	2355	3345	2644	1911	2137	2171	1322	1003	223	1644	2011	76	46	632	539	1548	1925	97	497	1955	1646	167	1698	1636	1741	575	691	15
NCU10622	CM002236.1;CM002236.1	231496;232512	232411;232838	-;-	1243	212	193	212	213	196	205	528	392	82	101	156	3	18	194	161	181	224	5	33	214	99	37	291	270	315	157	168	14
NCU08091	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	233028;233215;233373;233623;233623;234407	233256;233558;233558;234749;234247;234489	+;+;+;+;+;+	1658	1155	1273	1228	1109	1263	1370	2741	1691	396	1269	1241	62	74	883	753	1547	1976	62	324	1457	1119	140	1709	1525	1678	919	759	38
NCU08092	CM002236.1;CM002236.1;CM002236.1	234736;235569;235978	235448;235880;237045	-;-;-	2093	14029	11453	14907	12922	14487	14355	18242	11810	2766	15856	18493	864	934	6849	12586	20818	22287	1429	4931	21014	16050	1824	19185	19215	18723	13894	12725	862
NCU08093	CM002236.1;CM002236.1;CM002236.1;CM002236.1	237549;237865;238034;238147	237797;237894;238084;238578	+;+;+;+	762	16085	16944	17262	15282	16846	15630	24530	16396	3492	15610	16737	1083	1051	12074	13268	17530	19733	1078	5073	22385	16633	3639	33100	32930	33089	11144	13043	778
NCU08094	CM002236.1;CM002236.1	239112;239749	239506;240765	+;+	1412	3792	5951	4296	3718	3962	4352	4976	3249	782	5880	6568	291	188	3112	2792	3158	2901	201	810	3605	3084	290	3011	3025	2805	3717	2682	141
NCU08095	CM002236.1;CM002236.1	240744;241536	241330;241840	-;-	892	1602	1001	1717	1776	1965	1225	6184	3322	900	402	411	18	49	152	248	9137	12026	626	904	3922	2702	326	3975	4164	3663	1589	1217	98
NCU08096	CM002236.1;CM002236.1	243324;244178	243346;246248	-;-	2094	64	120	45	98	78	90	77	40	3	25	30	0	2	13	17	39	37	4	25	50	32	8	60	34	52	61	31	5
NCU16307	CM002236.1;CM002236.1	246887;247422	247378;247478	-;-	549	10	15	11	9	5	5	18	7	3	7	5	0	0	4	2	12	8	1	0	1	7	0	5	5	9	18	5	0
NCU08097	CM002236.1;CM002236.1;CM002236.1	249097;250847;251518	250790;251445;251944	-;-;-	2720	140	298	180	182	190	263	228	168	23	77	64	4	4	56	47	103	94	7	26	137	104	10	89	99	118	133	109	8
NCU08098	CM002236.1	253456	254492	+	1037	192	184	145	166	158	234	135	91	34	26	50	0	1	58	59	129	140	10	28	184	101	20	104	77	102	74	84	2
NCU08099	CM002236.1	254975	255694	-	720	376	273	221	428	447	430	534	382	49	62	64	6	8	374	162	203	146	6	31	225	158	16	316	335	335	94	258	3
NCU08100	CM002236.1	256166	256694	+	529	123	98	90	144	146	157	223	158	21	26	32	0	6	240	114	110	100	4	13	100	58	15	136	166	153	100	184	5
NCU08101	CM002236.1	257493	259361	+	1869	2	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0	2	0
NCU15002	CM002236.1	260802	260909	+	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU15003	CM002236.1	261512	261618	+	107	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU08102	CM002236.1	262020	263387	-	1368	6	18	8	16	9	10	8	29	0	0	1	0	0	0	0	0	4	0	2	2	0	0	0	0	0	2	6	0
NCU08103	CM002236.1	264036	265388	-	1353	4	49	11	9	23	11	8	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0
NCU08105	CM002236.1;CM002236.1	291633;292700	292267;292877	+;+	813	0	0	2	0	1	3	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU08106	CM002236.1	293167	294573	+	1407	0	7	0	0	3	4	3	2	0	0	0	0	0	0	0	1	2	0	0	1	0	0	1	0	1	2	2	0
NCU08107	CM002236.1	296499	297770	-	1272	0	0	0	0	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU08109	CM002236.1	302353	303729	+	1377	2	4	2	4	0	0	23	4	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	2	0
NCU08110	CM002236.1;CM002236.1;CM002236.1	305342;306102;308323	305993;308216;308567	-;-;-	3012	3583	2883	3256	3226	3286	2876	5714	4008	788	1150	1127	48	91	1333	1082	3576	3751	231	653	2808	2441	395	4141	3782	4200	1333	1218	36
NCU08111	CM002236.1;CM002236.1	309019;310330	310273;310364	+;+	1290	1254	1925	1481	1281	1434	1474	1479	1105	212	1149	1144	75	27	647	648	854	805	63	165	891	930	100	1051	1061	1006	723	634	27
NCU08112	CM002236.1;CM002236.1;CM002236.1;CM002236.1	311541;312429;312557;313267	312376;312492;313126;313460	+;+;+;+	1664	447	522	478	438	558	564	614	470	83	726	757	43	22	311	272	470	632	34	123	528	408	48	557	630	558	576	365	20
NCU08113	CM002236.1;CM002236.1	313930;314779	314273;315269	+;+	835	84	33	53	66	44	80	82	48	3	82	77	2	0	38	51	60	36	3	12	59	32	4	40	56	43	83	37	0
NCU08114	CM002236.1;CM002236.1;CM002236.1;CM002236.1	318873;319505;320676;320860	319440;320606;320801;321079	-;-;-;-	2016	66	44	50	75	66	90	71	26	6	44	38	2	0	30	29	59	81	1	26	78	71	9	67	71	81	55	47	0
NCU08115	CM002236.1	325003	328569	+	3567	375	398	342	364	445	378	662	485	93	108	134	4	8	145	100	350	408	20	77	419	398	24	676	632	641	174	159	4
NCU08116	CM002236.1	328658	330088	-	1431	4	26	1	18	9	14	5	20	0	0	7	0	0	2	2	1	0	0	2	2	2	1	0	8	4	3	1	0
